parallax,phot_g_mean_mag,bp_rp
10.04392515,20.570314,1.076788
10.04391702,20.689846,1.7878208
10.04391269,14.790603,2.382863
10.0438843,18.715652,3.7391205
10.04387795,16.45205,2.8928833
10.04385651,20.27838,2.0431156
10.04383512,20.622038,1.8151455
10.04382869,16.829721,3.04949
10.04382044,17.581385,3.5087566
10.04381841,19.02486,3.4044228
10.0438081,13.675434,2.019023
10.0438071,15.366242,2.3883266
10.04379694,14.247318,2.1308298
10.04379595,16.314018,2.69145
10.04378235,14.919952,2.2664814
10.04378027,11.549695,1.247755
10.04378015,10.767239,1.0270863
10.04377801,15.985536,2.6924047
10.04375908,19.925602,0.8279209
10.04375077,20.278418,2.246027
10.04373048,6.6524177,0.04221487
10.04371335,17.985172,3.2551022
10.04371029,10.871101,1.0230646
10.04370815,13.422762,1.941596
10.04370129,14.67152,2.4261436
10.04368517,15.63117,2.7334766
10.043684,14.200968,2.1863213
10.04366247,19.248854,3.4449825
10.04365299,20.036493,2.4978714
10.04362305,12.963957,1.7611332
10.04361793,11.932101,1.405077
10.04360902,20.019087,2.0494194
10.04357793,14.800092,2.5460167
10.04355792,20.658884,2.1027298
10.04354265,20.912056,2.2892075
10.0435377,18.34239,3.6894188
10.04353649,18.908548,0.5078659
10.04352868,9.0274935,0.6749611
10.04350955,18.589933,3.680746
10.04349214,14.463322,2.1263828
10.04347988,20.76193,2.7064838
10.04346522,20.892147,2.7583618
10.04345636,12.417112,1.5918875
10.04343783,17.579967,3.4760494
10.04342895,19.361504,0.83241653
10.04340958,20.594997,1.7158337
10.04340218,14.381732,2.2567644
10.04339701,10.664196,1.0423079
10.04337477,19.792131,0.8424206
10.04336657,18.55036,3.8457317
10.04336368,17.202747,3.141223
10.04336032,18.070005,3.492138
10.04335801,21.055767,2.3053856
10.04334211,19.775286,2.4525757
10.04333694,18.644562,3.4916782
10.04333567,18.296398,0.3743477
10.0433331,15.894647,2.7885704
10.04333147,20.208136,1.3976345
10.04332889,20.891865,2.6505718
10.04331862,13.444576,2.024764
10.04331789,15.622274,2.6890717
10.04331046,7.6506557,0.7562189
10.04329819,19.360914,3.6443405
10.04325889,16.4484,2.8920317
10.04324622,20.568388,2.2699413
10.04323974,13.060631,1.6666918
10.04323175,20.715103,1.034893
10.04323056,6.736592,0.29209518
10.04322697,18.250551,3.413868
10.04320663,18.57311,3.613325
10.04320193,17.136463,3.164874
10.04319882,9.254709,0.7471514
10.04319095,20.80685,1.4147301
10.0431658,6.429272,0.38713312
