RAdeg,DEdeg
0.02468,28.48182
0.08962,0.43627
0.60424,1.03499
0.77068,30.33644
1.0044,19.03102
1.49113,17.11294
1.54172,26.05777
1.77246,15.56525
1.865,3.70696
2.29098,32.46851
2.29166,25.21769
2.5317,9.51323
2.57474,-0.21776
2.66789,35.99096
2.84314,-0.98457
3.39124,47.33578
3.41747,47.46933
3.84264,48.25434
3.85754,-0.61023
3.89389,1.21375
3.94923,47.74289
4.28122,46.91888
4.41694,3.81568
4.45855,-0.24404
4.52148,27.62872
4.53196,0.90322
4.6393,-0.25424
4.71273,1.21913
4.87002,46.37148
4.87871,-0.21426
4.91717,37.26667
5.23099,46.61472
5.60461,-0.47439
5.61665,-9.24578
5.9823,0.03148
6.17089,0.415
6.2253,38.82577
6.32256,26.27924
6.46912,1.15691
6.4885,35.21418
6.50396,-9.44837
6.5759,35.74477
6.61248,33.6274
6.80913,-10.16705
7.30394,43.52635
7.4213,0.35445
7.54415,40.12807
7.59847,5.15116
7.68627,6.25734
7.96463,43.68225
8.14811,45.49226
8.16128,39.47436
8.49787,8.01099
8.53313,39.80857
8.57275,7.45137
8.57497,6.78589
8.67228,-0.73247
8.71761,41.74182
8.71761,41.74182
8.76558,31.15718
8.79691,40.44049
8.84554,17.95674
8.85605,-17.58602
8.88099,40.01426
8.92058,40.62642
9.02356,40.36518
9.04383,-0.52641
9.07029,45.05698
9.12114,39.6108
9.16417,40.06137
9.16993,40.26183
9.16993,40.26183
9.17573,40.14178
9.23504,46.21858
9.23504,46.21858
9.28164,1.05039
9.51193,0.83728
9.62695,26.78246
9.68113,-0.48496
9.84299,7.49661
9.94321,36.01788
9.98505,37.0331
9.98522,37.84178
9.987,42.25353
10.03148,39.40761
10.10908,45.33027
10.33126,36.95935
10.34698,37.86518
10.36769,5.60205
10.38154,34.80101
10.42973,31.45831
10.43287,37.7268
10.49452,0.248
10.62774,34.61011
10.6586,35.01762
10.6908,-0.26016
10.80223,37.87031
10.81658,37.57886
10.84391,1.0663
11.00056,0.32324
11.00528,8.29433
11.03313,37.12859
11.04192,0.17961
11.08058,37.35593
11.1689,37.2271
11.24932,27.15279
11.55766,33.8362
11.55766,33.8362
11.63427,40.71866
11.66843,40.78384
11.8486,39.6426
11.8897,-1.06427
11.91483,0.44282
11.92824,-1.16932
11.94734,33.56224
11.99485,35.67846
12.02917,37.36723
12.07379,41.40747
12.07535,39.91924
12.13475,38.99262
12.14843,36.17926
12.24378,38.53529
12.25592,0.05152
12.38659,26.742
12.40428,26.54979
12.48173,-0.09942
12.71586,-0.78422
12.82254,0.06955
12.85702,-0.62136
12.95217,-0.93476
12.9917,2.61617
13.16446,40.24212
13.22135,0.81142
13.22714,25.92607
13.2634,27.25199
13.31072,42.42252
13.33059,34.81513
13.68824,41.07641
13.84227,39.52958
13.90729,39.71001
14.00779,38.79985
14.07978,41.44342
14.10977,29.29738
14.12228,40.47852
14.19662,7.90691
14.29238,35.07785
14.3213,37.8804
14.39825,40.24884
14.45855,6.05172
14.48314,19.74245
14.55609,9.4866
14.64114,36.99849
14.64819,36.3311
14.66996,16.73447
14.7603,1.09318
14.92301,14.59052
15.18756,38.1445
15.39282,35.14246
15.39282,35.14246
15.49896,9.4697
15.55952,-10.4608
15.57735,29.31872
15.63678,0.97901
15.71892,-0.63977
15.75336,4.56504
15.98198,4.37542
16.0223,0.85358
16.09088,34.25604
16.13951,46.8152
16.36377,37.16602
16.38927,8.38368
16.44843,-0.49413
16.57907,38.52303
16.59907,0.83518
16.65294,11.3095
16.7031,36.11959
16.73975,38.6518
16.74007,15.17819
16.86747,16.96954
17.12684,0.1032
17.17754,6.67872
17.18595,17.19861
17.21222,31.53875
17.22384,0.39478
17.2477,38.29991
17.25443,4.83847
17.26803,38.90084
17.32846,39.2113
17.40947,-0.14656
17.49915,7.55942
17.59865,5.84328
17.67293,14.58232
18.05182,45.94093
18.09045,6.65394
18.19908,15.80467
18.20748,17.81598
18.41074,16.48481
18.41208,14.92388
18.46443,7.9666
18.80811,6.06089
18.81358,5.11586
18.85146,8.6029
19.25772,33.98648
19.34023,-1.58192
19.37974,1.21727
19.38304,35.10033
19.47912,0.27602
19.6163,29.98387
19.6502,30.47446
19.67646,5.72805
19.85542,13.84145
20.05096,14.61518
20.09685,37.19613
20.18992,30.12109
20.20336,0.37372
20.23758,41.78501
20.25137,-1.42156
20.25142,-1.4214
20.26088,23.49975
20.34514,33.65694
20.34874,0.15907
20.39739,5.73274
20.43041,6.11384
20.46142,21.96699
20.49674,4.74832
20.49904,38.08905
20.51106,7.49031
20.51768,7.08913
20.51783,7.08889
20.61371,1.68287
20.66382,14.14968
20.68906,1.76049
20.73042,5.21877
20.73042,5.21877
20.80367,-8.6252
20.82776,-0.84147
20.93462,34.99694
20.9425,42.45925
20.99246,41.13847
21.13034,37.9309
21.14404,33.81069
21.14918,13.39343
21.17512,24.8501
21.31621,41.93682
21.3943,-4.30491
21.3943,-4.30491
21.49392,19.93219
21.51557,31.73957
21.5361,5.34803
21.56426,35.34185
21.57371,27.91911
21.63473,27.95826
21.67718,6.76232
21.7036,27.1051
21.73133,7.29838
21.74424,6.79026
21.77878,-3.44894
21.82107,-2.11273
21.91968,27.5812
21.98504,9.31025
21.99092,27.70048
22.04681,27.64225
22.12899,31.70554
22.13569,42.0094
22.32218,42.63181
22.43463,34.047
22.48639,24.19328
22.61142,-4.09744
22.67852,-1.53626
22.6925,-3.80916
22.79532,-0.65297
22.80114,-2.27288
22.85966,-1.16741
22.86631,30.74388
23.04001,28.23544
23.06537,21.32171
23.09403,29.864
23.11865,-1.15012
23.11939,31.11652
23.17352,29.86633
23.21206,-1.91943
23.33462,-3.25857
23.36443,1.07917
23.44265,13.47289
23.46876,29.41937
23.54777,30.18566
23.58257,0.20328
23.70296,28.94959
23.71862,-1.0772
23.74382,-0.44355
23.7526,28.39423
23.7605,42.32351
24.01484,30.76884
24.17086,30.03299
24.19805,33.93692
24.23793,28.69858
24.28727,41.80628
24.48043,-9.66164
24.57086,41.7319
24.5724,-8.38383
24.84572,26.78513
24.89132,24.70172
24.93016,29.98055
25.05055,-1.15792
25.7573,57.84841
25.77833,23.54625
25.85001,23.44725
26.32585,38.14801
26.32585,38.14801
26.32585,38.14801
26.33546,25.62744
26.48887,37.5023
26.56153,29.14404
26.58241,24.02706
26.79517,31.72567
27.20348,0.70055
27.22832,21.06878
27.30593,31.41642
27.51068,0.00972
27.65151,32.81368
27.75551,22.96738
27.844,-1.04521
28.07369,4.58624
28.11528,29.8007
28.32188,8.16683
28.7201,8.0863
28.73938,8.28068
28.87267,0.21876
29.1152,-0.53273
29.13271,0.69601
29.1474,0.72305
29.27104,31.90794
29.49308,46.61616
29.55991,9.55103
29.72835,8.84751
29.73204,-0.36721
29.83746,1.82385
29.91731,0.14727
29.98261,17.95977
30.01118,18.63191
30.11558,18.13712
30.14634,-0.38624
30.3767,-1.16918
30.61618,1.06794
31.16532,0.16659
31.18157,13.83962
31.21401,13.7909
31.39064,12.64001
31.47845,37.83351
31.57329,11.8086
31.70313,38.3309
31.75411,15.92727
31.91,59.9304
32.23721,7.30854
32.24711,28.21328
32.7198,3.56376
32.81783,0.21588
33.03498,-0.41554
33.4874,9.74422
34.28225,-0.02274
34.43323,9.63421
34.6859,37.90102
34.70506,-0.3091
34.98539,0.86489
35.06188,9.85303
35.09352,46.92207
35.25005,0.63324
35.55311,22.30854
35.66405,2.42649
35.87371,3.82524
35.87371,3.82519
35.97254,4.88092
35.97254,4.88092
36.13194,3.60997
36.13502,3.49132
36.13502,3.49132
36.24571,1.94944
36.28858,0.03004
36.28914,1.69118
36.38618,1.79609
36.4306,-0.10098
36.53454,3.55253
36.60334,0.51173
36.71223,2.80974
36.77383,29.89789
36.81278,1.20959
36.94583,1.5366
36.97975,3.19313
37.25613,3.60639
37.3265,-0.04253
37.63088,26.14356
37.87654,53.55092
37.99504,25.4938
38.18143,7.59917
38.18143,7.59917
38.20435,2.70174
38.30467,5.88245
38.30467,5.88245
38.30467,5.88245
38.30467,5.88245
38.30467,5.88245
38.48083,2.11718
38.51916,1.12405
38.83179,2.10793
38.97823,-0.47002
39.01932,-9.27749
39.03554,9.91138
39.03554,9.91138
39.15878,1.56284
39.16614,1.11191
39.56964,3.87317
39.87486,2.55278
39.8919,22.41755
39.94142,3.58808
40.10006,2.39282
40.10006,2.39282
40.10006,2.39282
40.45688,18.80242
40.68367,26.58859
41.08537,26.30013
41.31063,-0.80019
41.42903,2.33268
42.05839,2.52199
42.23325,8.65838
42.31226,-7.9433
42.53583,4.71547
42.71423,54.19911
42.71849,33.68938
42.77054,34.24009
42.81453,-0.40883
42.85772,1.0133
42.91486,30.08016
43.0372,-0.70087
43.03724,-0.70093
43.12401,34.12752
43.15702,-0.82118
43.25406,0.39177
43.30362,-3.93148
43.4284,27.45094
43.56683,-0.81088
43.6075,0.31409
43.79041,28.05619
43.80452,-0.27292
43.88652,3.67399
44.06687,28.28702
44.17705,27.63661
44.37344,24.96552
44.38594,0.37142
44.4782,24.96321
44.57276,53.9487
44.67177,0.61946
44.78029,28.10501
44.90624,1.17787
44.99058,-2.51758
45.13507,2.28386
45.21591,0.94836
45.31054,24.70795
45.41039,27.14717
45.49723,31.22965
45.50742,0.89393
