ra,dec
77.12729503,40.08808212
187.8143855,-26.37186018
171.0236687,-43.29155226
230.8365792,-30.82627865
105.2196291,14.40107498
113.1483079,-21.89403157
186.8931058,-54.36262458
101.9965727,16.45208498
297.9167203,22.9260417
204.4965357,65.69879496
249.0765276,30.75926016
158.0388053,47.58198251
231.6059781,-50.64697375
186.4663784,-2.337846876
233.7146998,-42.99519415
82.50823463,-70.31592751
183.5372354,26.92856203
0.397039777,-83.49567776
305.2855056,-74.1998776
265.27265,56.86712295
263.9771045,17.17680886
241.6547324,11.39284495
6.453787644,53.296745
313.9141099,6.134682968
96.16872767,-56.97822654
120.801185,-23.58568481
303.0418841,-16.16731372
305.4706138,56.26496783
222.2795546,15.7920657
333.8616935,-68.1440969
326.2824601,2.427678008
101.8351869,25.13283809
307.6561886,-24.78186737
220.3647807,3.347303812
355.4568434,-3.67086395
10.50920579,15.92961945
325.9930164,-57.7411468
145.5169753,-16.0142745
293.5533608,8.697405446
95.78099231,-49.30596807
133.4877942,-24.78164537
151.4073886,41.72184179
19.2181917,43.04071088
42.79136611,34.10787257
11.17631737,41.78104026
182.3047611,30.68869499
326.2348419,12.5966919
125.8940027,56.60759366
139.1226662,2.584231849
11.27235581,40.15293869
231.702239,40.49308505
214.8963117,50.70441457
214.8963117,50.70441457
79.21688812,13.67694212
91.07810157,25.57530066
237.9523184,43.17968144
125.0499483,56.43820737
125.477873,56.33509226
260.329031,26.28902624
35.55319781,22.30823694
135.4211256,29.83706052
208.9562276,38.25710884
28.11526518,29.80057743
22.12903592,31.70548774
7.544421349,40.1276574
111.3205995,29.05646906
111.3205995,29.05646906
111.3205995,29.05646906
86.5182814,13.48771259
351.9231795,43.78453075
16.38929626,8.383586513
138.5275982,30.84257021
138.5275982,30.84257021
138.5275982,30.84257021
251.0083892,31.11189306
263.053011,36.39381681
207.1178991,11.91316065
172.8542725,48.53072633
72.03160717,23.09167387
164.964434,61.98637136
20.09690886,37.19609943
231.8209178,38.28576988
190.8870718,32.13157735
147.6591876,-2.646203381
166.9298592,28.25088186
171.9285681,35.07492409
171.9285681,35.07492409
171.9285681,35.07492409
171.9285681,35.07492409
186.7668928,33.05867604
217.7069088,63.68164959
264.9524057,44.54903741
114.6637624,12.54841833
88.71844489,22.98513934
258.7783991,48.95593154
20.99221576,41.13806804
45.3109568,24.70783688
215.8725701,35.07214943
117.346639,32.12218373
117.346639,32.12218373
123.7074583,29.65526717
260.4866423,10.35530084
215.2976321,19.74712555
195.7947109,-0.664482229
222.738693,39.34589492
155.4440589,38.87984265
220.2339686,26.37036126
344.053335,6.209957854
121.7423677,3.840162074
57.31197239,9.42393645
57.31197239,9.42393645
8.400699762,41.59106517
115.827674,21.58839264
115.827674,21.58839264
174.7471673,58.83630907
87.24600458,26.18972751
185.9116376,34.85785294
221.0249751,24.73567813
158.2378488,61.22258663
175.2349937,2.567636955
151.7098758,58.80914013
40.74333617,35.34899578
187.6896788,41.1620691
187.6896788,41.1620691
209.9135393,43.39182285
231.212522,6.530587647
191.9789154,11.67377512
221.9479711,0.476302033
116.4678395,38.68145125
20.75235561,44.56565836
102.7930016,9.212789512
186.8965222,54.85522743
229.1576431,34.05617608
200.8945521,47.86061241
195.0438253,49.30834905
96.25285779,30.94651326
194.3120138,9.20711758
179.1949502,59.65094781
279.8238981,41.40832483
221.9728222,5.434949741
164.1756072,37.00119186
164.1756072,37.00119186
224.5488709,31.25230377
165.2714969,48.93297748
153.9805304,19.10202217
271.4702028,23.32297477
217.7927135,39.61721075
118.727626,18.27581222
207.235041,33.79733578
153.1976766,27.79093056
248.7120944,63.85428818
231.4450322,33.26433595
196.2431079,33.59387387
143.4127908,54.9105683
221.7466362,24.44549277
188.4858113,34.94551285
41.16659849,37.08944059
205.4869317,24.86639632
265.2332399,11.27116207
115.2798261,57.81052148
201.5682175,20.71085557
131.5047556,27.38341523
33.48790056,9.744176043
113.5083909,58.03445433
20.18989406,30.12102419
39.92625049,35.60889547
178.9332378,53.21008067
200.289728,32.89395909
16.86765415,16.96961869
18.20773428,17.81585918
320.5657531,15.38293931
210.0817603,52.22374773
359.9918895,0.969620997
158.0901187,14.14314642
22.80125618,-2.273000262
179.7107622,28.71852705
243.2401137,45.2683437
230.2300914,1.335288175
262.2243603,43.86481081
244.9905101,28.62660322
136.7665459,1.782774552
45.90005538,18.19716815
43.45663403,34.86842554
161.4168644,35.84564716
174.2561375,43.47975814
191.0239583,31.63556021
125.1125203,26.36586455
104.1920068,22.86760863
104.1920068,22.86760863
93.82136934,17.63360945
122.6748627,56.01677191
43.30879252,36.8409875
236.0232777,37.85240313
146.0829631,45.1918705
186.5656093,43.39584016
358.6866643,4.217792304
358.6866643,4.217792304
332.2198813,5.417750155
119.0838597,23.70902752
353.9743899,33.51694394
106.7247713,31.65331375
106.7247713,31.65331375
243.6013673,50.65516596
29.47158983,-0.828723602
154.110807,11.18461789
120.0083507,27.0587184
249.5712786,28.02535607
151.5350417,45.13870501
156.9483421,30.55777728
203.5877723,36.42589562
13.22679698,25.92572998
244.4760957,51.20669715
278.6934856,41.8642883
343.9167787,40.23869078
109.8866726,17.31321885
58.37555103,15.75365682
20.51810404,7.088507444
42.0670008,33.85211723
90.7622546,23.74210426
206.8987519,55.62984405
245.8342968,47.72951277
198.2798187,26.18056216
14.07980156,41.44341789
349.1629952,42.47184897
20.61377856,1.68288866
287.3608425,39.4532899
19.45694824,44.85765429
343.2856819,39.12455786
341.2474186,30.72305913
18.41254724,14.9238847
251.8185529,22.0895268
144.9248038,27.86104189
143.9596636,26.78296238
39.03557565,9.911239785
39.03557565,9.911239785
164.479564,44.61309713
255.7169945,33.16489195
110.3981937,10.04008015
232.4824124,30.27984774
207.0452436,56.97638506
261.4324718,53.4266572
148.7130025,8.864538682
148.7130025,8.864538682
118.0114437,20.6769667
9.235074536,46.21838747
9.235074536,46.21838747
43.53121144,37.41249924
201.7631079,55.61038902
341.1610591,-9.995530625
164.4441831,36.12829699
164.4441831,36.12829699
121.74341,55.73406368
8.71794753,41.74180945
8.71794753,41.74180945
61.51458996,37.14629516
19.67659978,5.727962589
173.4423977,31.27131781
209.110922,1.943800179
252.0029689,28.0553245
207.4748447,52.22858534
199.8837793,14.76765803
73.15387676,14.71497795
160.5200062,63.28548337
35.09348689,46.92206866
7.598453475,5.150748254
186.5862145,16.96507237
42.43468693,33.76564952
49.91789326,6.793945138
332.2522608,68.8192385
217.0350266,7.78652722
146.2685797,32.81382533
175.7317889,29.85922497
104.882667,27.83484316
157.5999127,48.11347714
190.8927555,30.57998227
235.33134,27.82739536
356.8243224,10.37735187
164.5992961,-1.866317071
164.5992961,-1.866317071
164.5992961,-1.866317071
11.00534163,8.294153346
306.6363557,9.145740158
119.717336,21.85939128
194.2250716,33.20713613
204.5660783,33.33145746
204.5660783,33.33145746
304.6217216,9.820725202
21.56487457,35.3417509
123.5089707,55.81297165
173.0635061,67.27155081
118.2907978,44.50138834
164.3468689,40.0195662
121.9490579,56.07215494
252.0821361,31.46370147
351.2995736,36.58035087
250.3955143,26.74038699
44.57722772,37.05931759
56.37356801,27.08948352
131.9200039,36.74946282
105.4139189,38.20329965
105.4139189,38.20329965
0.024970099,28.48170702
181.5688359,9.192622914
195.6388335,6.917100435
166.1446159,13.66014565
9.342747728,0.840594826
259.4382081,62.89371897
209.6244943,32.89314598
294.2928651,61.97166489
155.1549439,27.47588472
29.49352983,46.61598322
182.0344581,8.227958086
161.8946132,22.80288562
184.6592757,10.33623039
44.16051668,34.81796565
190.685902,15.65525131
356.908995,0.277813923
120.6877849,19.97730585
155.6311749,30.08049111
113.9897392,59.63097639
57.80758346,28.18451138
17.67349885,14.58229381
135.8783612,18.29946353
139.7532964,35.22231208
222.6622242,50.39999657
164.4038,47.63508549
164.4038,47.63508549
164.4038,47.63508549
164.4038,47.63508549
59.26263685,40.27476847
136.9850846,3.273233838
171.7086318,6.191348329
23.06576249,21.32149759
26.79514279,31.72567614
207.1450699,31.09630268
207.1450699,31.09630268
220.2529715,34.71436159
152.2563762,15.50924314
114.5549972,35.00005745
187.0949524,6.876729907
232.9087558,31.84179339
254.0750619,25.52074084
341.4916633,30.99106522
167.2590977,26.08705358
119.8855397,36.88826896
232.4112259,39.46544459
8.672153398,-0.73251345
230.1931736,7.297571961
334.9873534,68.6302811
38.1818776,7.598977132
38.1818776,7.598977132
185.7039387,57.70019978
226.6006913,18.82400427
196.7567839,37.27602089
333.2449261,4.095126498
76.00692244,16.75527215
350.4537714,43.43981622
107.231259,29.79383531
58.26068943,16.43869316
131.8233734,38.41532737
176.9328085,15.77227017
44.53831536,36.83158675
15.39285025,35.14249596
15.39285025,35.14249596
341.579706,30.70415177
135.83952,33.32458874
242.7052491,51.86623239
183.5874114,33.52560876
1.865084276,3.706783542
252.8538471,22.89497793
124.4741796,55.5168213
21.39436947,-4.305039042
21.39436947,-4.305039042
215.2158114,29.85696414
21.99094994,27.70053376
123.0585682,56.06666804
105.1082829,26.89296892
169.3463815,39.97018272
131.5843471,45.87782346
154.0900866,48.12321076
201.8289513,58.46838506
6.203358437,-0.017443703
89.05227692,24.62510704
16.70334526,36.11955249
185.5619817,29.20540024
40.10007319,2.392724356
40.10007319,2.392724356
40.10007319,2.392724356
215.6800872,52.69262933
203.4279532,25.30967517
259.3184,41.31907361
224.2981437,44.39181625
224.6013121,12.29263086
159.9103095,20.75150625
248.5267865,30.31655319
248.5267865,30.31655319
173.9254643,-4.441406663
240.9918832,51.58360363
326.5185112,73.08591016
207.8085409,35.6920037
156.6430044,9.232628964
12.85694341,-0.62144808
211.0195483,28.57793853
143.0119511,33.84967753
205.4256563,41.01552048
24.02474043,-1.129872864
153.7620724,21.43724172
331.9486697,0.267934502
331.9486697,0.267934502
204.6428083,51.91688521
147.2073882,31.6325723
186.8540914,21.81242545
42.05863654,2.521714509
157.1671425,24.32842141
192.4930623,43.36492284
185.2530779,23.63911059
27.22854442,21.06882452
21.14404148,33.810693
227.5759465,30.02851328
200.8676268,51.49379472
42.15376464,34.00205342
164.2208164,55.74523976
141.0455144,26.40468423
53.24910734,-1.818877756
150.0199026,33.1000088
225.9427214,55.05463403
183.942345,32.74239572
236.7984713,51.9316549
25.85020508,23.44708367
11.94752967,33.56219242
130.3300212,29.06339562
7.686256716,6.257288365
175.1326041,41.20132417
188.5231863,55.63498199
213.3494849,58.33344492
194.7653045,12.35424086
130.0383305,45.02133288
151.0467205,26.00623148
130.2283159,56.95238966
197.4224112,48.1985637
234.1108127,28.85759852
159.6277942,18.42418226
241.4850441,31.92342813
209.6607674,17.6399222
287.2111504,38.61169636
325.01618,74.000176
185.4772605,21.37349327
143.8811133,23.43211443
222.6091953,13.12897545
186.8648924,26.69362353
204.396577,40.37156009
137.6832388,32.93529169
131.7315157,42.93588424
145.4890687,53.57804795
146.0983562,6.127031915
161.0492278,40.18265613
141.1237735,52.56947242
178.8550912,5.721821714
191.2431417,13.03330777
142.7903565,12.62810522
142.7903565,12.62810522
191.839865,8.649820182
49.26258778,24.02165168
157.7148827,29.89663542
192.7302775,32.766276
247.5721764,49.01399247
205.8712282,17.92837555
107.1046547,32.95033079
37.63092549,26.1432387
48.26802558,34.35896034
176.2816437,37.72719608
172.622677,-1.77457544
165.5232721,24.87800146
208.4220328,19.43272492
4.41727296,3.815603
197.8737792,62.90586487
10.34706506,37.86513705
21.14955335,13.39337678
35.9730619,4.880721716
35.9730619,4.880721716
119.0574642,33.95968791
190.3607075,59.43872709
22.25315536,0.684514935
133.627012,48.93768075
184.9565532,30.76073848
172.8247007,68.22639141
227.3781024,7.473547956
106.9418079,26.63289562
106.9418079,26.63289562
104.9573032,27.27038956
201.4312904,21.07952286
148.1151755,45.75296386
236.4227824,50.5535386
251.7980273,23.68607209
174.7540519,29.79285622
143.6034871,53.8150921
143.6034871,53.8150921
143.6034871,53.8150921
165.9303527,8.134400843
340.6074112,-1.306026882
23.46879203,29.41935983
154.2857122,56.37667884
80.88597927,19.55495076
201.7280777,34.73551968
221.8787855,46.29959131
221.8787855,46.29959131
237.5200089,50.49907622
31.55273661,0.257506058
266.413062,26.77094921
164.1080066,26.77840364
214.3236132,19.37635418
151.5364879,38.44836244
154.426755,23.51749752
204.5681338,58.82900294
166.6086346,58.87892327
123.4435082,40.16649381
192.9225012,38.0467802
141.0604609,20.01958395
195.692716,9.380730008
277.6902941,41.20529362
23.33473818,-3.258737706
218.7389392,47.08792289
203.6957727,12.5992714
99.8048496,35.34389482
97.90460996,33.17625497
41.057785,-0.57420908
120.6047211,5.599190676
116.3541752,24.37868652
165.9423455,26.74144416
2.57476551,-0.218123735
184.050388,5.036955329
172.785861,54.09299297
157.0258896,50.64690636
292.6181054,62.9613041
186.8071833,-1.739995108
247.7308589,62.30516216
199.8688723,49.55728777
312.8063207,14.75543334
220.1403771,42.41070908
192.4598154,9.716363015
159.3981179,38.78340996
193.9130036,61.50403993
187.6823018,31.38543467
330.8102752,7.771269645
164.0412937,28.90411542
278.0786951,21.8128644
206.3095984,48.54133321
53.99755107,5.758045053
65.25376437,7.902267401
142.7211338,31.64198123
233.9194279,8.361676848
135.053095,18.90975636
137.4519614,21.434928
240.8554688,36.50325699
167.5876228,64.41991739
162.2955057,57.86897392
190.6855413,-2.858035714
313.3896863,15.98359709
17.59871452,5.843067127
16.74005083,15.17766529
200.6559253,66.97336257
223.6617811,61.15831976
9.806351381,7.99999574
233.0248052,30.26373219
191.118164,58.29868162
191.118164,58.29868162
130.0476117,27.58693851
111.7753182,32.0822691
121.6167887,39.31298412
184.9640813,25.39978902
222.8949612,51.13677068
20.49663116,4.748209923
209.8449427,50.06888766
236.3544308,43.46942851
201.6330661,25.91708972
