DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,grp,distance,mag,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error
56.427572,1.64e+18,Gaia DR3 1034026849825376384,1.03e+18,127.0325752,0.012519728,56.42752773,0.012004054,17.09340513,0.015508149,1102.2208,1.0749137,67131.0583,13.62005806,14.837889,12.528549,2.3093395,1.09150906,58.502094368835685,9.784200989713293,,,,,,,,
43.413376,1.64e+18,Gaia DR3 373602373103749760,3.74e+17,17.82852633,0.011725003,43.41317301,0.009790326,14.06210464,0.013913104,1010.70935,1.1461167,108292.3825,13.10087204,14.144792,12.088488,2.056304,1.0123840400000006,71.11311041986387,8.84112366658205,,,,,,,,
-9.149003,1.64e+18,Gaia DR3 6896033545254420480,6.9e+18,319.5624358,0.012709541,-9.14901676,0.010314194,15.54641056,0.015462643,1005.4175,1.0403509,96536.04657,13.22564316,14.412373,12.144663,2.2677097,1.080980160000001,64.32352961094062,9.18379382329919,,,,,,,,
33.999074,1.64e+18,Gaia DR3 134714677193546752,1.35e+17,40.15355503,0.014118124,33.99867001,0.012600119,16.22286436,0.016382625,990.24817,1.1765904,73981.37696,13.5145607,14.836003,12.377442,2.458561,1.1371187000000003,61.64139561356723,9.565198385231291,,,,,,,,
2.688977,1.64e+18,Gaia DR3 3090466777517902848,3.09e+18,125.4011318,0.01569616,2.688508597,0.012255876,17.67324636,0.018143464,974.0834,1.1556644,64673.75483,13.6605463,15.008865,12.518191,2.490674,1.1423553000000002,56.58270018027407,9.89712795719364,,,,,,,,
2.847468,1.64e+18,Gaia DR3 3091187576109643264,3.09e+18,123.9012946,0.018881924,2.847068486,0.014351062,21.38033342,0.022592792,946.3342,1.2262582,57496.82824,13.7882576,15.214238,12.616797,2.5974407,1.1714605999999996,46.77195534586757,10.438329968100248,,,,,,,,
33.153246,1.64e+18,Gaia DR3 1325585138437910528,1.33e+18,245.5561508,0.00743165,33.15313421,0.008823257,9.266455506,0.009971769,929.269,1.0618867,91851.76218,13.27964783,14.11374,12.385575,1.7281647,0.8940728300000007,107.91612816275902,8.114216053820918,,,,,,,,
35.010622,1.64e+18,Gaia DR3 137314712954256512,1.37e+17,44.42179694,0.021174673,35.01034414,0.01609272,20.74084293,0.022563856,919.2065,1.4183401,61327.00098,13.718238,15.297575,12.500571,2.7970037,1.2176669999999987,48.21404816453138,10.302370013015494,,,,,,,,
53.2944,1.64e+18,Gaia DR3 993505517016143616,9.94e+17,102.5180878,0.010298554,53.2945227,0.010185013,11.96086463,0.013332196,897.1414,1.0770051,89916.1894,13.30277252,14.223053,12.35412,1.8689327,0.9486525199999996,83.60599596552746,8.69158539588123,,,,,,,,
22.612945,1.64e+18,Gaia DR3 3424326611345767168,3.42e+18,89.00666343,0.016923139,22.61280587,0.01298599,17.38307661,0.019799924,877.9366,1.1414881,52932.85303,13.87805367,15.292735,12.711095,2.5816402,1.1669586699999996,57.52721583386038,10.078686890890273,,,,,,,,
