RAdeg,DEdeg,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,RA,dec
0.024685,28.481815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0896244,0.4362708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.604239,1.034993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.770677,30.336443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.004397,19.031025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.491134,17.112939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.54172,26.057774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.772465,15.565246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.865002,3.706965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.290978,32.46851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.291661,25.217688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.531697,9.513229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5747398,-0.2177568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.667888,35.990961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.843138,-0.984569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.391245,47.33578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.41747,47.469329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.842636,48.254343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8575359,-0.6102283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.893893,1.213753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.949226,47.742893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.281225,46.91888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.416937,3.815683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.458549,-0.2440389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.521476,27.628721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.531963,0.903218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.639305,-0.254242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.712729,1.219131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.870016,46.37148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.878707,-0.21426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.917172,37.26667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.230993,46.614723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.60461,-0.47439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6166509,-9.2457813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9823026,0.031476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1708882,0.4150007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.225297,38.825774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.322557,26.279245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4691201,1.1569126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.488501,35.21418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.50396,-9.448369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.575904,35.744767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.61248,33.627403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.80913,-10.167046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.30394,43.526349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4213,0.354446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.544152,40.128073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.598467,5.151162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.686266,6.257344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.964632,43.682247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.148112,45.49226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.161277,39.474355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.49787,8.010992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.533129,39.808574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.57275,7.451374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.574968,6.785888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6722789,-0.7324672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.717614,41.741821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.717614,41.741821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.765579,31.157179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.79691,40.440486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.84554,17.956737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.856054,-17.586016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.880989,40.014259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.920578,40.626416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.023555,40.365181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.04383,-0.526408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.070286,45.056982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.121138,39.610801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.164174,40.061366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.169929,40.26183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.169929,40.26183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.175732,40.141784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.235043,46.218575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.235043,46.218575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.281635,1.050391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5119341,0.8372754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.626948,26.782456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6811333,-0.4849558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.842987,7.496609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.943206,36.017881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.985049,37.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.985223,37.841784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.986995,42.25353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.031479,39.407612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.109077,45.330274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.331263,36.959353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.346978,37.865182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.367688,5.602053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.381544,34.801012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.429733,31.458308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.432873,37.726802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.494523,0.247997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
