designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,grp,distance,mag,DEdeg,solution_id,ra_error,dec_error,parallax_over_error,bp_rp,2MASS_RAJ2000,2MASS_DEJ2000,2MASS_2MASS,2MASS_Jmag,2MASS_e_Jmag,2MASS_Hmag,2MASS_e_Hmag,2MASS_Kmag,2MASS_e_Kmag,2MASS_Qflg,2MASS_Rflg,2MASS_Bflg,2MASS_Cflg,2MASS_Xflg,2MASS_Aflg
Gaia DR3 1394562755591853184,1.39E+18,232.5135778,44.82645316,3.424303172,0.14759108,1.002108,576.771618,,,18.7848568,,,,19.865696,,,,17.773985,1.0108718,292.0302175,11.45771784,44.826532,1.64E+18,0.130373567,0.131362334,23.201286,2.091711,232.513612,44.826565,15300326+4449356,16.54400063,0.119999997,16.19499969,0.179000005,15.81799984,--,BCU,220,110,0,0,0
Gaia DR3 4034791508787452160,4.03E+18,179.7309487,39.85026365,5.464645364,0.2454139,1.0340718,398.7754035,,,19.18554688,,,,20.597229,,,,18.001417,1.18412988,182.9944916,12.8733568,39.850394,1.64E+18,0.149427712,0.185879678,22.267057,2.5958118,179.73051,39.850426,11585532+3951015,16.32099915,0.094999999,16.15399933,0.172000006,15.58600044,0.184,ACC,222,111,0,0,0
Gaia DR3 678933071349308800,6.79E+17,125.3347131,23.6619193,4.174727997,0.17795305,1.0367941,746.1959318,,,18.50523376,,,,19.484312,,,,17.509851,0.99538276,239.536564,11.60837468,23.662336,1.64E+18,0.153379947,0.106108204,23.459717,1.9744606,125.334979,23.66267,08212039+2339456,16.34799957,0.094999999,16.08300018,0.174999997,15.62300014,0.159,ACC,222,111,0,0,0
Gaia DR3 1404497736501779968,1.40E+18,236.7984713,51.9316549,3.958407303,0.12426965,0.93265575,670.8878766,,,18.6207428,,,,19.851068,,,,17.553593,1.0671498,252.6268581,11.6083452,51.931991,1.64E+18,0.111711174,0.122250214,31.853373,2.2974758,236.798912,51.932007,15471173+5155552,16.07299995,0.078000002,16.07099915,0.188999996,15.38199997,0.186,ACC,222,111,0,0,0
Gaia DR3 1600325739570334080,1.60E+18,225.9427214,55.05463403,5.262676164,0.16344668,1.0610708,470.7054998,,,19.00549316,,,,20.379528,,,,17.863668,1.14182516,190.0173921,12.61152639,55.054745,1.64E+18,0.14828518,0.138772458,32.19812,2.5158596,225.943252,55.054668,15034638+5503168,16.22500038,0.100000001,16.0170002,0.174999997,16.09399986,--,ACU,220,110,0,0,0
Gaia DR3 1559647176597181696,1.56E+18,203.1860247,51.8451053,3.052213703,0.1401652,1.0036845,587.1323809,,,18.76552773,,,,20.106283,,,,17.67969,1.08583773,327.6310564,11.18860242,51.84514438,1.64E+18,0.112522662,0.11358054,21.775831,2.4265938,203.18628,51.845287,13324470+5150430,16.17399979,0.093999997,15.97500038,0.196999997,15.4119997,0.162,ACC,222,111,0,0,0
Gaia DR3 1676013680485524736,1.68E+18,197.8737792,62.90586487,3.589541455,0.12488684,0.9843679,697.5847675,,,18.57837486,,,,19.610685,,,,17.583187,0.99518786,278.5871155,11.35356973,62.90584,1.64E+18,0.111785166,0.106287926,28.742352,2.0274982,197.875242,62.905788,13113005+6254208,16.20700073,0.092,15.91300011,0.171000004,15.60099983,0.224,ACD,222,111,0,0,0
Gaia DR3 1372393474439484928,1.37E+18,240.8554688,36.50325699,4.248044694,0.17308955,1.0684232,459.2674151,,,19.03220367,,,,20.445513,,,,17.874428,1.15777567,235.4024197,12.17314906,36.50316395,1.64E+18,0.126283541,0.153060719,24.542469,2.571085,240.855706,36.503189,16032536+3630114,16.4109993,0.120999999,15.89099979,0.149000004,15.49100018,0.195,BCC,222,111,0,0,0
Gaia DR3 1662050368143633792,1.66E+18,204.5681338,58.82900294,3.166700198,0.118194334,1.0693471,894.8456922,,,18.30799675,,,,19.348886,,,,17.309404,0.99859275,315.7861299,10.8110315,58.829404,1.64E+18,0.106485099,0.096862972,26.792318,2.039482,204.569084,58.829491,13381658+5849461,16.11000061,0.097999997,15.88399982,0.145999998,15.45400047,0.166,ABC,222,111,0,0,0
Gaia DR3 1273603179322257024,1.27E+18,233.0248052,30.26373219,3.71214935,0.15521574,1.0653169,675.4981384,,,18.61330605,,,,19.705488,,,,17.610783,1.00252305,269.3857132,11.46143325,30.263981,1.64E+18,0.084960014,0.114751406,23.916061,2.0947056,233.02537,30.264103,15320608+3015507,16.25900078,0.086999997,15.83100033,0.143000007,15.34799957,0.144,ABB,222,111,0,0,0
Gaia DR3 854136027282406144,8.54E+17,162.0528813,56.68234371,3.70745776,0.1816453,0.98231363,519.0715777,,,18.89929962,,,,20.064499,,,,17.836067,1.06323262,269.7266064,11.74468068,56.68257,1.64E+18,0.112934127,0.124838904,20.410425,2.2284317,162.05316,56.682552,10481275+5640571,16.17700005,0.127000004,15.75599957,0.187000006,15.33300018,--,BCU,220,110,0,0,0
Gaia DR3 1764304739074637568,1.76E+18,313.3896863,15.98359709,3.6607078,0.15081179,0.9494614,744.8510171,,,18.50719261,,,,19.489532,,,,17.488642,1.01855061,273.1712157,11.32501793,15.983988,1.64E+18,0.114757046,0.110786662,24.273354,2.0008907,313.390099,15.984153,20533362+1559029,16.42499924,0.119999997,15.73999977,0.171000004,15.69099998,0.24,BCD,222,111,0,0,0
Gaia DR3 3989547017620980608,3.99E+18,161.8946132,22.80288562,6.776861158,0.14659365,1.0673316,903.5105547,,,18.29753304,,,,19.415213,,,,17.23614,1.06139304,147.5609396,12.45267598,22.80322,1.64E+18,0.121572994,0.137259409,46.228886,2.1790733,161.894384,22.803408,10473465+2248122,15.94699955,0.067000002,15.71899986,0.111000001,15.60599995,0.176,ABC,222,111,0,0,0
Gaia DR3 1483992942586072192,1.48E+18,214.0356202,36.48056324,3.748029205,0.1794335,1.0177283,526.8300401,,,18.88319016,,,,20.263264,,,,17.706417,1.17677316,266.8068858,11.75220499,36.480506,1.64E+18,0.096749082,0.130654112,20.888124,2.5568466,214.035416,36.480331,14160849+3628491,16.29500008,0.097999997,15.67199993,0.116999999,15.60499954,0.219,ABD,222,111,0,0,0
Gaia DR3 1483992942586072192,1.48E+18,214.0356202,36.48056324,3.748029205,0.1794335,1.0177283,526.8300401,,,18.88319016,,,,20.263264,,,,17.706417,1.17677316,266.8068858,11.75220499,36.480506,1.64E+18,0.096749082,0.130654112,20.888124,2.5568466,214.035416,36.480331,14160849+3628491,16.29500008,0.097999997,15.67199993,0.116999999,15.60499954,0.219,ABD,222,111,0,0,0
