designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,grp,distance,mag,DEdeg,solution_id,ra_error,dec_error,parallax_over_error,bp_rp,2MASS_RAJ2000,2MASS_DEJ2000,2MASS_2MASS,2MASS_Jmag,2MASS_e_Jmag,2MASS_Hmag,2MASS_e_Hmag,2MASS_Kmag,2MASS_e_Kmag,2MASS_Qflg,2MASS_Rflg,2MASS_Bflg,2MASS_Cflg,2MASS_Xflg,2MASS_Aflg
Gaia DR3 200596000887144576,2.0059600088714458e+17,77.12729503154372,40.08808211901966,5.126234559292591,0.25631082,1.097902,437.3188510233832,0.8845477,494.39825,19.085371,276.8664747525605,6.532331,42.384026,19.232866,206.1182844267236,5.892444,34.9801,18.962605,0.1227659999999986,195.07495968697884,12.634363370805552,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 3499582753426923136,3.499582753426923e+18,187.8143854879341,-26.371860176394243,3.3443121894960965,0.1672143,0.9654763,943.7318593176532,1.1954725,789.42163,18.250246,185.34140751100176,5.858595,31.635813,19.668612,1176.803031249287,7.8411984,150.07948,17.071136,1.1791100000000014,299.01514671412144,10.871780058917146,,,,,,,187.814723,-26.371906,12311553-2622188,15.49899959564209,0.061000000685453415,14.913999557495117,0.06499999761581421,14.527000427246094,0.097,AAA,222,111,000,0.0,0.0
Gaia DR3 5376927973717214976,5.376927973717215e+18,171.02366874907355,-43.29155225560752,2.013839754387009,0.10069024,2.5521185,5103.0950816636005,6.042927,844.47406,16.417782,3414.4034105821565,19.865498,171.87605,16.505255,3038.741815151041,8.169537,371.9601,16.04116,0.3766219999999975,496.5638392139047,7.937906549175725,,,,,,,171.023712,-43.291622,11240569-4317298,15.11299991607666,0.04100000113248825,14.451000213623047,0.04500000178813934,14.456000328063965,0.08,AAA,222,111,000,0.0,0.0
Gaia DR3 6208124301498892672,6.208124301498892e+18,230.83657916864843,-30.82627864599013,1.6007952630718725,0.0800382,1.2546805,4581.88499843613,3.0054138,1524.5438,16.534756,1950.4036915267063,7.917675,246.3354,17.113232,3722.163913849335,10.658891,349.20743,15.820907,0.7138490000000015,624.6895046909581,7.556434952526112,,,,,,,230.836584,-30.826216,15232078-3049343,15.001999855041504,0.0560000017285347,14.359000205993652,0.061000000685453415,14.369000434875488,0.077,AAA,222,111,000,0.0,0.0
Gaia DR3 3353819775380228608,3.3538197753802286e+18,105.21962914063658,14.401074980502896,0.971696332854486,0.048583023,0.742056,146917.9091522877,93.912315,1564.4158,12.76968,121984.88137693024,267.17606,456.57117,12.622777,47230.33065397334,34.1726,1382.1111,13.062343,-0.292663000000001,1029.128099168974,2.7073328186092347,,,,,,,105.219643,14.401124,07005271+1424040,13.420000076293945,0.028999999165534973,13.581999778747559,0.03400000184774399,13.682999610900879,0.043,AAA,222,111,000,0.0,0.0
Gaia DR3 5619195087344338688,5.619195087344339e+18,113.14830786739078,-21.89403156787847,4.946121646107904,0.2472969,1.0022125,380.4173052860114,0.820306,463.7505,19.236715,241.58613445074064,5.032659,48.003677,19.380861,164.6750815421083,5.4010797,30.48929,19.206326,0.0303889999999995,202.1786101413213,12.708038966498956,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 6076115080056975232,6.076115080056975e+18,186.8931057589308,-54.36262458087166,1.0932180799938789,0.054658428,1.8370267,22883.640007088856,13.109009,1745.6423,14.788554,18054.71644418526,17.498669,1031.7766,14.697065,8818.302068650017,7.550454,1167.9167,14.884433,-0.095879,914.7305723352098,4.982088027912502,,,,,,,186.893238,-54.362663,12273437-5421455,14.986000061035156,0.039000000804662704,14.741000175476074,0.04899999871850014,14.815999984741211,0.138,AAB,222,211,ccc,0.0,0.0
Gaia DR3 3358281249969228928,3.358281249969229e+18,101.99657265181776,16.452084977364564,0.9321323935097284,0.046604116,0.9841321,7743.147333177511,3.7061484,2089.2708,15.965073,4024.890907551061,11.004366,365.754,16.326656,5355.676528655215,12.200948,438.95578,15.425859,0.5392139999999994,1072.8089775259623,5.81246100429798,,,,,,,101.996418,16.452393,06475914+1627086,14.781999588012695,0.039000000804662704,14.440999984741211,0.054999999701976776,14.430999755859375,0.068,AAA,222,111,000,0.0,0.0
Gaia DR3 1828023194595749504,1.828023194595749e+18,297.9167203453981,22.92604169760168,4.737116218765212,0.23683816,5.416516,5994.680862553876,10.94296,547.81165,16.242952,2681.852121686235,7.297011,367.5275,16.767456,5238.739976810557,8.192197,639.47925,15.449828,0.7931239999999988,211.09889515454245,9.620522198443744,,,,,,,297.916702,22.926088,19514000+2255339,14.545999526977539,0.03799999877810478,14.069000244140625,0.04699999839067459,14.017999649047852,--,AAU,226,210,c00,0.0,0.0
Gaia DR3 1666238098696803584,1.6662380986968036e+18,204.49653573628703,65.6987949636807,0.7892403251692873,0.03945902,1.0049576,4572.608892510871,2.3959491,1908.475,16.536957,2313.7293904086832,14.062725,164.52924,16.927761,3226.3085722620976,11.364787,283.8864,15.9761305,0.560826500000001,1267.041188988292,6.023003334187479,,,,,,,,,,,,,,,,,,,,,
