ID,RA,Dec
1.03E+18,127.0325752,56.427572
3.74E+17,17.82852633,43.413376
6.90E+18,319.5624358,-9.149003
1.35E+17,40.15355503,33.999074
3.09E+18,125.4011318,2.688977
3.09E+18,123.9012946,2.847468
1.33E+18,245.5561508,33.153246
1.37E+17,44.42179694,35.010622
9.94E+17,102.5180878,53.2944
3.42E+18,89.00666343,22.612945
3.42E+18,90.64785038,23.181593
9.93E+17,102.6904979,52.228729
3.77E+17,16.4974884,44.786558
3.81E+17,8.970421944,40.147489
1.03E+18,128.3999118,57.28342
1.43E+17,43.66860281,37.438079
3.08E+18,126.0815313,-0.843856
3.43E+18,92.88089193,25.106295
5.25E+16,63.53708281,21.649591
4.02E+18,176.0782122,29.902361
5.65E+18,133.4877942,-24.78166667
1.03E+18,126.9569417,56.973471
1.66E+18,210.6101442,56.535972
3.09E+18,124.7650984,2.316766
4.01E+17,16.35000202,46.811003
8.07E+17,151.4073886,41.721667
3.38E+18,92.77851677,21.542063
1.03E+18,128.5592977,57.474058
3.73E+17,19.2181917,43.040796
3.69E+17,10.7133109,39.524334
4.01E+17,16.4399052,47.504963
3.38E+18,92.90920067,21.860588
4.54E+18,260.6123168,15.267376
1.42E+17,42.48735957,37.154444
3.42E+18,90.98135567,22.48225
2.12E+18,281.4260528,42.686722
4.01E+18,179.7716442,26.742968
1.42E+17,45.07914192,36.236204
1.40E+17,42.79136611,34.107983
1.08E+18,120.8167259,55.58518
3.77E+17,15.30949176,45.864333
3.43E+18,92.73192793,24.979402
3.08E+18,122.362815,-0.735721
3.42E+18,90.00284209,23.711426
5.76E+18,130.085027,-5.054048
3.09E+18,125.207716,2.713627
1.56E+18,207.1773793,53.64566
1.03E+18,124.4851668,56.737458
3.42E+18,89.06620528,22.740563
3.69E+17,11.35515134,41.047342
3.69E+17,10.51693134,40.201113
1.08E+18,120.8770818,55.502316
1.37E+17,44.33833635,33.550041
7.77E+17,165.8062929,40.779621
3.81E+17,11.17631737,41.781084
3.07E+18,124.8166328,-1.123175
3.81E+17,9.971655857,41.315638
1.03E+18,128.1589114,57.642751
1.41E+17,41.23914408,35.855533
3.08E+18,122.0715861,0.098089
3.42E+18,90.74775287,22.1248
3.81E+17,10.03684346,42.122511
3.09E+18,123.8919847,0.734787
3.08E+18,122.602203,0.680893
3.43E+18,89.9600632,25.120087
1.37E+17,43.9300416,33.703121
3.42E+18,90.66916702,22.252203
1.03E+18,124.0397692,55.711164
3.42E+18,89.49212798,22.815281
3.08E+18,126.2884929,1.397468
3.08E+18,124.9664645,-0.14308
1.40E+17,41.84771424,34.624314
3.42E+18,90.4351752,23.157054
3.43E+18,93.13141158,24.789051
3.75E+17,11.5511597,42.481668
3.07E+18,123.0798036,-1.171803
3.77E+17,17.41029876,44.376937
1.03E+18,125.5046917,54.63417
4.01E+18,182.3047611,30.688621
1.77E+18,326.2348419,12.597134
1.03E+18,122.2002796,56.189302
1.04E+18,125.8442798,58.571964
3.08E+18,126.0334349,0.791543
2.30E+17,60.15670595,41.166626
1.04E+18,125.33905,58.123437
1.40E+17,42.29340668,33.840476
3.98E+17,20.53093278,45.841183
5.17E+18,47.06594939,-8.490858
7.27E+17,157.9244287,25.099159
3.42E+18,89.34388018,20.948188
1.03E+18,124.5194483,56.99279
3.74E+17,18.58790983,44.560765
3.69E+17,10.03109299,39.407612
1.03E+18,125.8940027,56.607429
1.43E+17,43.56510211,37.384465
1.43E+17,43.71387156,37.330369
3.43E+18,89.38790883,24.79459
3.77E+17,15.57991169,46.280583
2.33E+17,64.5895685,44.432252
3.77E+17,16.08323618,46.085186
3.43E+18,89.61442018,24.905631
1.02E+18,138.5510638,53.927156
3.74E+17,13.40276446,39.475323
3.74E+17,18.83452166,43.939144
3.42E+18,88.70486825,22.540681
3.09E+18,125.5935023,2.199069
1.40E+17,41.88940914,33.587776
3.09E+18,124.10538,2.129616
1.41E+17,40.7557024,35.588855
1.41E+17,40.72256767,35.132456
3.09E+18,123.483251,2.249436
1.54E+18,187.5342322,44.381728
3.77E+17,16.13048671,45.757917
3.08E+18,122.9981247,0.393396
1.03E+18,123.9185315,56.634163
5.76E+18,128.8643023,-5.427426
6.69E+17,118.692887,18.754267
3.08E+18,126.0815874,-1.121017
4.01E+17,17.68594784,46.315669
1.03E+18,126.5527307,54.258805
3.09E+16,46.7990973,15.222808
1.41E+17,41.23895074,36.064125
3.98E+17,19.43645729,45.151841
2.84E+18,350.5761001,24.272795
3.83E+18,152.0923052,-0.197772
3.07E+18,125.3941166,-1.597401
9.26E+16,29.98301685,17.959774
9.84E+17,114.5391334,53.105956
3.82E+17,9.044437235,42.438662
3.85E+18,139.1226662,2.584723
1.01E+18,138.6638117,46.813038
4.01E+17,17.12875313,45.843807
3.42E+18,90.71416235,23.076211
3.77E+17,16.54815742,45.385995
3.87E+17,11.23072018,42.320956
1.03E+18,123.4773226,53.995926
3.69E+17,11.27235581,40.153324
1.37E+17,43.39885106,33.42458
3.98E+17,20.62096628,45.410976
3.42E+18,90.33432384,23.37744
3.75E+17,12.42517523,41.143313
3.77E+17,15.44429905,45.918971
1.37E+17,43.10436902,32.827205
3.25E+18,61.6298113,-3.868895
1.39E+18,231.702239,40.49323259
3.77E+17,16.02499904,46.071267
3.81E+17,10.56349445,41.828317
1.51E+18,214.8963117,50.704555
1.51E+18,214.8963117,50.7046
1.51E+18,208.7327522,50.534553
2.14E+17,86.46666918,49.614174
1.40E+17,42.0061905,33.675898
9.46E+17,108.4394326,38.334476
1.41E+17,44.09415835,36.602436
3.77E+17,17.34325152,45.198084
5.76E+18,139.0709464,-4.159738
2.86E+18,6.322459868,26.279245
3.39E+18,79.21688812,13.677063
3.43E+18,91.07810157,25.575545
3.69E+17,11.18870342,41.268666
3.42E+18,91.71350241,21.48768
1.39E+17,45.74888282,35.395901
3.42E+18,88.69869526,22.233066
3.81E+17,8.335084577,40.73106
1.40E+17,42.7655214,35.353471
1.37E+17,45.01874973,35.32754
3.74E+17,13.47274271,40.165923
3.77E+17,17.08881436,44.798088
3.09E+18,123.6458052,2.204341
3.08E+18,125.9868547,-1.013618
1.38E+18,237.9523184,43.179705
9.41E+17,99.3963991,33.783701
3.08E+18,124.9217408,0.735068
3.07E+18,130.1309478,-1.17693
3.08E+18,124.4325064,0.213984
3.81E+17,8.484989114,40.122773
3.69E+17,10.55040919,40.506912
1.08E+18,120.6550108,56.012573
3.42E+18,89.26413285,22.193261
3.68E+17,12.79934862,38.637019
1.41E+17,42.72978927,36.964193
1.35E+17,40.68355396,34.242076
1.03E+18,122.9464478,55.739385
3.42E+18,91.47050113,21.551775
1.37E+17,45.10620958,33.697844
3.81E+17,8.356931637,41.485426
3.38E+18,104.1714633,22.633444
3.08E+18,124.9272209,0.140003
3.35E+18,93.20380681,15.000737
1.40E+17,42.02332268,34.217394
3.08E+18,122.1932536,0.957153
3.81E+17,8.874757402,40.938582
4.00E+18,168.5245717,29.163401
3.76E+17,17.06904486,43.012262
1.41E+17,40.15473246,35.018696
1.03E+18,124.3201624,55.808421
1.41E+17,41.22138205,35.606169
3.08E+18,122.0431325,-0.177675
4.02E+18,176.7093681,29.466541
1.40E+17,42.06710877,33.715645
9.79E+17,104.8442195,50.12553
1.03E+18,125.0499483,56.438596
3.13E+16,47.27101955,15.385594
3.08E+18,126.770191,0.863476
3.43E+18,91.49724131,24.605664
3.15E+17,23.11940678,31.116519
1.42E+17,42.14545819,37.326624
3.74E+17,14.32337584,41.238118
3.15E+18,118.1938924,13.646337
3.42E+18,88.80140667,22.845408
3.42E+18,89.46131697,24.002823
1.37E+17,45.44899948,34.562821
3.08E+18,125.7846587,-0.712054
1.03E+18,125.477873,56.335043
3.07E+18,123.4964787,-1.638894
3.42E+18,90.086067,24.266721
3.08E+18,126.5243399,-0.72553
1.41E+17,40.65607705,35.322869
3.09E+18,123.4382045,0.961834
1.03E+18,124.1174939,56.277642
3.17E+18,108.7330389,15.573371
1.37E+17,42.77614788,33.348162
3.36E+18,103.2271903,17.190783
3.69E+17,11.25791469,39.931686
3.08E+18,125.002094,0.333533
3.42E+18,89.57599412,23.773627
4.57E+18,260.329031,26.28920129
1.03E+18,122.6143917,55.360845
9.99E+16,35.55319781,22.308536
8.79E+17,116.5794041,29.240294
3.77E+17,16.29163941,44.91971
3.77E+17,17.4193284,44.84554
3.42E+18,90.41931751,22.810616
1.37E+17,45.12301798,34.979345
3.81E+17,8.997208177,41.646745
3.74E+17,18.64369967,43.200635
1.03E+18,125.6859308,56.438896
1.00E+18,104.565964,57.861942
3.07E+18,122.9013123,-1.444999
3.82E+17,9.147675179,42.301786
8.47E+17,156.9614874,50.320689
1.40E+17,42.09029565,33.857764
1.03E+18,126.2059875,56.721671
3.42E+18,91.9799012,21.699104
3.98E+17,20.2121779,44.78389
3.07E+18,121.7403567,-4.730909
3.81E+17,9.418072339,40.25745
7.00E+17,135.4211256,29.837076
1.41E+17,42.27193137,36.572632
1.04E+18,123.4197238,57.360183
2.61E+17,72.25696144,52.803543
2.83E+18,351.8718848,21.752327
3.02E+17,26.56142129,29.144041
1.48E+18,202.9983931,40.04961
3.42E+18,88.36290803,22.995352
3.69E+17,9.433440927,39.666978
3.74E+17,17.84110333,44.364012
1.50E+18,208.9562276,38.257368
1.03E+18,125.2284386,54.372903
3.42E+18,89.94806451,24.531243
2.69E+17,85.8277557,57.419785
1.03E+18,123.3000021,55.318618
4.02E+17,15.61155469,46.938861
3.08E+18,125.7309777,1.04343
9.27E+16,30.11573054,18.13712
1.03E+18,122.2979046,55.975358
2.99E+17,28.11526518,29.800702
3.75E+17,13.40143775,42.210636
2.58E+18,18.85155626,8.602903
