RAdeg,DEdeg,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
195.87022,40.094123,1.6361480689213768e+18,Gaia DR3 1524264514458047488,1.5242645144580475e+18,971666268.0,2016.0,195.87018687064474,0.10414459556341171,40.094165085646175,0.12876765429973602,1.1522414370048883,0.23052911,4.9982467,11.861585,-8.47691647180431,0.16234443,8.296931979403325,0.19270396,0.23684702813625336,-0.13000853,-0.3591467,0.14514709,-0.098365895,0.012959948,0.15952496,0.033214398,-0.27994472,-0.004624355,628.0,0.0,627.0,1.0,0.7733539342880249,679.1055908203125,0.2723836600780487,0.39523839950561523,31.0,False,1.3136878,--,--,--,--,--,--,--,72.0,23.0,0.27389365434646606,80.0,14.0,0.0,0.01857922226190567,147.77197265625,0.0,0.0,1.0214666,0.1887012,0.31988138,0.36882547,0.39082938,82.88207,-67.557045,-24.780712,7.4797034,False,659.0,507.75925678077033,0.7299271821975708,695.6300048828125,18.923221588134766,65.0,131.11467523413728,5.519787,23.753576,20.044415,68.0,556.5373143466143,7.572383,73.49567,17.88416,1.3542875,0,3,0,2,0.0,2.1602554,1.1211929,1.0390625,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,112.8006327572642,76.79625898589,175.0093146945089,42.38526441615876,False,False,0.0,False,False,False,False,False,True,False,False,7.1424507e-13,1.0339711e-11,0.9999107,3453.5042,3442.7314,3480.4204,4.589,4.5208,4.691,-1.4856,-1.5041,-1.4522,447.5546,406.3232,482.3386,0.2522,0.2073,0.3041,0.1721,0.1414,0.2079,0.0971,0.08,0.1169,MARCS,5.0430826604624555e-05
195.95929,25.420827,1.6361480689213768e+18,Gaia DR3 3957461790853801344,3.9574617908538015e+18,1751289190.0,2016.0,195.95948849397658,0.7270681858062744,25.420355672169887,0.41464129090309143,2.7007316121622322,0.9069627,2.9777758,150.07819,55.58167818103256,1.3019656,-139.40637516150366,1.1759013,-0.13336265087127686,-0.038732648,-0.022995248,0.055788662,-0.11785093,-0.027383635,0.3870514,-0.059064034,-0.43899938,-0.19255707,328.0,0.0,328.0,0.0,-0.16305643320083618,360.68511962890625,1.308251142501831,0.6179244518280029,95.0,False,--,1.1120557,0.15423888,0.052790366,0.0981253,0.029969273,-0.07879738,-0.04494789,38.0,14.0,1.8960301876068115,45.0,6.0,0.0,0.029481813311576843,44.37342071533203,0.0,0.0,0.99254876,0.3449809,0.4980696,0.35385853,0.47991085,5.9192142,8.74599,1.9829415,-2.5763369,False,371.0,120.87059055648416,0.7366712689399719,164.0767059326172,20.481565475463867,30.0,43.407602239704346,5.8401904,7.432566,21.244627,37.0,124.67192967760899,6.805544,18.319172,19.508474,1.3905742,0,1,0,0,0.0,1.7361526,0.7630615,0.9730911,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,2.058474815104198,86.73772332409939,183.7618763748957,29.512773468834073,False,False,0.0,False,False,False,False,False,False,False,False,1.3920425e-10,2.5421773e-10,0.9999815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,0.0005023021208148151
195.97016,51.251616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.23446,6.112042,1.6361480689213768e+18,Gaia DR3 3729370856746156544,3.7293708567461565e+18,314100967.0,2016.0,196.2344590148076,0.056981977075338364,6.112006060080946,0.03966235741972923,1.5801401209869788,0.065845765,23.997597,9.372751,-7.572769329412401,0.08035066,5.5228287195198575,0.07383554,-0.17832155525684357,-0.1535136,-0.10723524,-0.10469769,-0.23109466,-0.09608576,0.06852798,0.057141647,0.04144106,-0.3104909,234.0,0.0,234.0,0.0,0.19007503986358643,242.83584594726562,0.0,0.0,31.0,False,1.3762681,--,--,--,--,--,--,--,27.0,15.0,0.1226329654455185,33.0,9.0,0.0,0.009066074155271053,170.71136474609375,1.0,0.0,1.0074352,0.1653525,0.4221147,0.28761938,0.39529753,-75.44211,15.474289,-8.252441,-19.34355,False,275.0,4259.382636777786,2.7389142513275146,1555.135498046875,16.61400032043457,32.0,1448.7192358402237,18.158089,79.78368,17.43608,30.0,4094.4890551731087,14.456429,283.22964,15.717396,1.3014112,0,4,0,1,0.0,1.7186852,0.8220806,0.89660454,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,312.2219751526052,68.73990477551084,192.55972676835216,12.02043110249714,False,False,0.0,True,False,False,False,False,True,True,False,1.04932034e-13,5.2679746e-13,0.999712,4300.0537,4291.3257,4306.0635,4.4897,4.4522,4.5376,0.2342,0.1667,0.296,799.1927,742.4801,851.7403,0.5763,0.5583,0.5906,0.4206,0.4073,0.4312,0.2251,0.2182,0.2306,PHOENIX,3.568610502031767e-05
196.24345,33.594124,1.6361480689213768e+18,Gaia DR3 1467892695037358848,1.4678926950373588e+18,574164031.0,2016.0,196.2431078564468,0.05493025481700897,33.59387387318069,0.0332200787961483,5.756806041070007,0.068895474,83.558556,184.76991,-139.53159417573588,0.062446363,-121.12329742939329,0.044831645,0.19928187131881714,-0.21553978,0.3587211,0.36722875,0.07303888,0.2971011,0.08574566,-0.18810129,-0.08860006,0.24927756,542.0,0.0,540.0,2.0,-0.04436753690242767,558.9558715820312,0.0,0.0,31.0,False,1.3251162,--,--,--,--,--,--,--,62.0,22.0,0.09418709576129913,69.0,19.0,0.0,0.026226244866847992,130.747314453125,0.0,0.0,0.99802125,0.14519577,0.38859633,0.120373,0.4074992,-101.85772,-8.008292,8.260577,-9.739746,False,585.0,2876.9921721395876,1.6241909265518188,1771.338623046875,17.040019989013672,56.0,759.8031749534441,6.3095465,120.4212,18.13679,59.0,3114.6230288866245,8.269411,376.64386,16.014381,1.3466934,0,2,0,2,0.0,2.122408,1.0967693,1.0256386,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,99.46911663723866,82.9070962068505,179.5471315949165,36.893223217393846,False,False,0.0,True,False,False,False,False,True,True,False,1.13637784e-13,5.67615e-13,0.99885,3541.861,3533.1047,3570.7183,5.0654,5.033,5.0817,-0.8876,-0.9042,-0.8419,166.264,161.8449,180.9093,0.3791,0.355,0.4309,0.2603,0.2437,0.2965,0.1453,0.1361,0.1654,PHOENIX,0.0003800988254852356
196.28793,64.298061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.75691,37.275797,1.6361480689213768e+18,Gaia DR3 1522549521133088640,1.5225495211330888e+18,1083020390.0,2016.0,196.7567839050423,0.07831913232803345,37.276020888699136,0.06952446699142456,4.872429961611442,0.124127224,39.253513,78.68846,-33.1833390189022,0.07592505,71.34942161899303,0.0984853,0.10374138504266739,-0.19010466,-0.35387635,0.026634343,0.090893865,0.0013711693,-0.07746311,0.15374546,-0.025073143,0.046819437,431.0,0.0,430.0,1.0,-0.18846072256565094,439.0546875,0.0,0.0,31.0,False,1.2762924,--,--,--,--,--,--,--,50.0,24.0,0.13647116720676422,60.0,20.0,0.0,0.0005368698039092124,169.19969177246094,0.0,0.0,0.9927603,0.034095157,0.16386932,0.09556868,0.34675008,-4.524599,-30.369972,-42.018494,-6.8149242,False,484.0,1220.3394995646036,1.2364540100097656,986.9671630859375,17.97116470336914,49.0,275.48684413801766,10.518494,26.190712,19.23829,48.0,1478.4140011882016,9.421474,156.9196,16.823406,1.4372237,0,3,0,3,0.0,2.4148846,1.2671261,1.1477585,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,105.94322974076877,79.33280039176083,177.71290327986907,40.31086814207943,False,False,0.0,False,False,False,False,False,True,True,False,1.0964923e-13,5.478243e-13,0.9992449,3416.1667,3405.9946,3435.372,5.0904,5.0549,5.1104,-0.7655,-0.8064,-0.6645,194.1194,186.5437,216.9551,0.5277,0.4913,0.5819,0.3476,0.3236,0.3837,0.2122,0.1977,0.2344,MARCS,0.0002466788727808485
196.89479,63.547473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.89484,0.206441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.05597,-3.0711693,1.6361480689213768e+18,Gaia DR3 3684419999608462080,3.6844199996084623e+18,341504303.0,2016.0,197.055978160451,0.2925121486186981,-3.0714799839862685,0.19663989543914795,3.4669464503482046,0.34882653,9.938885,67.22869,5.577361523993837,0.44498318,-66.99693968554467,0.33579093,-0.411762535572052,-0.2743966,0.09215328,-0.16799907,0.02344605,-0.12302235,0.17231326,-0.12859571,0.20071477,-0.5407721,309.0,0.0,307.0,2.0,-2.157914161682129,288.0482177734375,0.0,0.0,95.0,False,--,1.1781424,0.06635214,0.11133079,-0.033455025,-0.07790163,-0.037430212,-0.1502899,36.0,16.0,0.6902348399162292,37.0,9.0,0.0,0.06291600316762924,118.5155258178711,0.0,0.0,0.9122778,0.1843689,0.5079251,0.34839916,0.20693871,-26.079847,23.448948,7.955335,-19.216589,False,303.0,359.9395299352451,1.1171939373016357,322.1817932128906,19.29679298400879,32.0,83.15333316793877,5.7278996,14.517247,20.538843,30.0,400.9084372812865,9.096427,44.073177,18.240282,1.344842,0,0,0,0,0.0,2.298561,1.2420502,1.0565109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,311.21717612168453,59.5299672653507,196.8992726361889,3.861364335317026,False,False,0.0,False,False,False,False,False,False,False,False,1.02217856e-13,2.1401694e-10,0.999981,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,0.00030989221818697476
