DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
56.427572,1.64E+18,Gaia DR3 1034026849825376384,1.03E+18,127.0325752,0.012519728,56.42752773,0.012004054,17.09340513,0.015508149,1102.2208,1.0749137,67131.0583,13.62005806,14.837889,12.528549,2.3093395
43.413376,1.64E+18,Gaia DR3 373602373103749760,3.74E+17,17.82852633,0.011725003,43.41317301,0.009790326,14.06210464,0.013913104,1010.70935,1.1461167,108292.3825,13.10087204,14.144792,12.088488,2.056304
-9.149003,1.64E+18,Gaia DR3 6896033545254420480,6.90E+18,319.5624358,0.012709541,-9.14901676,0.010314194,15.54641056,0.015462643,1005.4175,1.0403509,96536.04657,13.22564316,14.412373,12.144663,2.2677097
33.999074,1.64E+18,Gaia DR3 134714677193546752,1.35E+17,40.15355503,0.014118124,33.99867001,0.012600119,16.22286436,0.016382625,990.24817,1.1765904,73981.37696,13.5145607,14.836003,12.377442,2.458561
2.688977,1.64E+18,Gaia DR3 3090466777517902848,3.09E+18,125.4011318,0.01569616,2.688508597,0.012255876,17.67324636,0.018143464,974.0834,1.1556644,64673.75483,13.6605463,15.008865,12.518191,2.490674
2.847468,1.64E+18,Gaia DR3 3091187576109643264,3.09E+18,123.9012946,0.018881924,2.847068486,0.014351062,21.38033342,0.022592792,946.3342,1.2262582,57496.82824,13.7882576,15.214238,12.616797,2.5974407
33.153246,1.64E+18,Gaia DR3 1325585138437910528,1.33E+18,245.5561508,0.00743165,33.15313421,0.008823257,9.266455506,0.009971769,929.269,1.0618867,91851.76218,13.27964783,14.11374,12.385575,1.7281647
35.010622,1.64E+18,Gaia DR3 137314712954256512,1.37E+17,44.42179694,0.021174673,35.01034414,0.01609272,20.74084293,0.022563856,919.2065,1.4183401,61327.00098,13.718238,15.297575,12.500571,2.7970037
53.2944,1.64E+18,Gaia DR3 993505517016143616,9.94E+17,102.5180878,0.010298554,53.2945227,0.010185013,11.96086463,0.013332196,897.1414,1.0770051,89916.1894,13.30277252,14.223053,12.35412,1.8689327
22.612945,1.64E+18,Gaia DR3 3424326611345767168,3.42E+18,89.00666343,0.016923139,22.61280587,0.01298599,17.38307661,0.019799924,877.9366,1.1414881,52932.85303,13.87805367,15.292735,12.711095,2.5816402
23.181593,1.64E+18,Gaia DR3 3424597125565976960,3.42E+18,90.64785038,0.015463149,23.1812581,0.012942409,13.81591741,0.01635214,844.8997,1.1350051,76804.66881,13.47389793,14.517859,12.461344,2.0565157
52.228729,1.64E+18,Gaia DR3 993144190006664832,9.93E+17,102.6904979,0.013597458,52.22818829,0.013043698,13.40594537,0.015871847,844.6367,1.1604129,64423.37929,13.66475773,14.69024,12.666923,2.0233173
44.786558,1.64E+18,Gaia DR3 376751163950773760,3.77E+17,16.4974884,0.016150134,44.78659726,0.01090792,16.46037583,0.019762589,832.9059,1.2280744,49218.64256,13.95704269,15.456607,12.763376,2.6932306
40.147489,1.64E+18,Gaia DR3 380775724402140032,3.81E+17,8.970421944,0.013187604,40.14722295,0.013665186,16.04908044,0.019645475,816.93524,1.2779939,65117.87892,13.65311623,14.998735,12.508819,2.4899168
57.28342,1.64E+18,Gaia DR3 1034462771826195072,1.03E+18,128.3999118,0.013521877,57.28340641,0.010815623,12.69608982,0.016419364,773.23883,1.1185603,63175.37165,13.68599701,14.850025,12.615977,2.234048
37.438079,1.64E+18,Gaia DR3 142996576730416640,1.43E+17,43.66860281,0.016036889,37.43779552,0.013505026,13.21440797,0.017682223,747.32733,1.0396236,60967.27807,13.72462463,14.780813,12.705345,2.075468
-0.843856,1.64E+18,Gaia DR3 3076361520801493120,3.08E+18,126.0815313,0.011663231,-0.844042702,0.009453754,10.81145241,0.014725545,734.19714,1.1458764,77049.0011,13.47044945,14.593509,12.418215,2.175294
25.106295,1.64E+18,Gaia DR3 3426706195026863744,3.43E+18,92.88089193,0.016323006,25.10580245,0.014209975,13.69916669,0.019005388,720.8043,1.1414864,53503.84386,13.866405,15.117138,12.757831,2.3593073
21.649591,1.64E+18,Gaia DR3 52470962620208512,5.25E+16,63.53708281,0.020966807,21.64944256,0.012004272,14.94773758,0.02100414,711.65674,1.1982033,84961.71387,13.36430836,14.933664,12.143935,2.789729
29.902361,1.64E+18,Gaia DR3 4020807438868686080,4.02E+18,176.0782122,0.014550344,29.90198764,0.011741418,11.15622704,0.015695333,710.79895,1.0139606,82204.75102,13.40012455,14.3861,12.415575,1.9705248
-24.78166667,1.64E+18,Gaia DR3 5652718166073269888,5.65E+18,133.4877942,0.038642753,-24.78164537,0.035445299,38.8220006,0.054821067,708.15845,1.0370897,9046.091412,15.7962141,18.227554,14.408044,3.8195105
56.973471,1.64E+18,Gaia DR3 1034112302494592000,1.03E+18,126.9569417,0.013042168,56.97320278,0.011507219,11.11264503,0.015841627,701.4838,1.0105453,51042.39527,13.9175396,15.094611,12.841933,2.252678
56.535972,1.64E+18,Gaia DR3 1657965235771086848,1.66E+18,210.6101442,0.011204183,56.53542657,0.010558316,9.049280352,0.012916494,700.5988,1.3443156,88387.26484,13.32139301,14.346248,12.314113,2.032135
2.316766,1.64E+18,Gaia DR3 3090356860714991360,3.09E+18,124.7650984,0.017554108,2.316753195,0.013340686,16.36490271,0.023573587,694.205,1.1246916,64893.51106,13.65686321,15.012191,12.508723,2.5034676
46.811003,1.64E+18,Gaia DR3 401216401478225920,4.01E+17,16.35000202,0.016637487,46.81077293,0.01085458,12.94251603,0.018908054,684.49756,1.0728071,55023.98034,13.83598709,15.071127,12.738223,2.3329039
41.721667,1.64E+18,Gaia DR3 806901587573550208,8.07E+17,151.4073886,0.013656891,41.72184179,0.013679604,14.15697408,0.02097432,674.96704,1.0116739,35470.26337,14.31270599,15.420456,13.268171,2.1522846
21.542063,1.64E+18,Gaia DR3 3375417894600875648,3.38E+18,92.77851677,0.015258332,21.54194112,0.015503789,14.08186332,0.020894991,673.9349,1.0469743,78485.77381,13.45038986,14.560458,12.403404,2.157054
57.474058,1.64E+18,Gaia DR3 1034472358193129856,1.03E+18,128.5592977,0.009284774,57.47356667,0.008285209,8.093163264,0.012186687,664.0987,1.0947521,94486.05418,13.24894714,14.083576,12.346701,1.7368755
43.040796,1.64E+18,Gaia DR3 373357044571670912,3.73E+17,19.2181917,0.025856679,43.04071088,0.028741151,22.75634293,0.03462801,657.1658,1.0211967,14580.98104,15.2779,17.078785,14.005805,3.07298
39.524334,1.64E+18,Gaia DR3 368827262823313280,3.69E+17,10.7133109,0.016374001,39.52421805,0.014021012,13.88019199,0.021194687,654.8902,1.0937593,30632.74427,14.47190189,15.92336,13.2923765,2.6309834
47.504963,1.64E+18,Gaia DR3 401350129579493248,4.01E+17,16.4399052,0.017095918,47.50446163,0.013744273,14.55390894,0.022313382,652.2502,1.0795134,37607.71857,14.24917412,15.6592,13.0870285,2.5721712
