DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
38.606389,1.64E+18,Gaia DR3 910509358532982144,9.11E+17,131.0833006,0.414825618,38.60637282,0.275910318,0.002736597,0.48288363,0.005667198,0.9935507,182.9858706,20.03132248,21.233437,18.851215,2.3822212
4.08965535,1.64E+18,Gaia DR3 4424679397150454016,4.42E+18,236.2487716,0.568181276,4.089643989,0.497945487,0.009370492,0.756286,0.012390143,1.0796334,135.9304803,20.35407448,21.293156,19.10821,2.184946
21.765584,1.64E+18,Gaia DR3 3424018984310826496,3.42E+18,89.45177404,0.192576289,21.7655727,0.160486609,0.010749304,0.20514275,0.05239914,1.0459797,1062.985954,18.12104797,19.04951,17.121487,1.9280224
37.850326,1.64E+18,Gaia DR3 751959197692198784,7.52E+17,159.6603725,0.447198808,37.85021461,0.351073027,0.01161777,0.51714265,0.02246531,1.0067865,157.7107365,20.19271278,21.23181,19.179468,2.0523415
26.70234068,1.64E+18,Gaia DR3 1307233013763694976,1.31E+18,252.0630913,0.371170253,26.70229016,0.429760218,0.012571959,0.62341106,0.020166405,1.016803,134.24074,20.36765671,21.02678,19.46063,1.5661488
-0.12950139,1.64E+18,Gaia DR3 2536086825745216128,2.54E+18,13.9925924,0.403053373,-0.129515464,0.270788401,0.017262059,0.48542303,0.035560858,1.023437,213.2853371,19.864964,20.885462,18.941412,1.9440498
19.61896683,1.64E+18,Gaia DR3 1239858514626624640,1.24E+18,215.432174,0.752568901,19.61893418,0.689705491,0.022200549,1.1422698,0.019435467,1.0586852,97.51275011,20.71471405,21.236443,19.59879,1.6376534
-0.1758988,1.64E+18,Gaia DR3 2507032746376043392,2.51E+18,32.56962641,0.514984488,-0.176063534,0.476282805,0.02425634,0.58236915,0.041651145,0.9013218,162.4066371,20.160858,21.084675,19.01351,2.071165
18.72744774,1.64E+18,Gaia DR3 669963775182257920,6.70E+17,119.7559429,0.607195139,18.72739944,0.400693625,0.026190924,0.66817456,0.039197728,1.0661585,130.8179725,20.39569855,21.29507,19.284472,2.0105991
-0.98752674,1.64E+18,Gaia DR3 3263263203144423424,3.26E+18,52.60256638,0.232082874,-0.987540332,0.232179016,0.028625245,0.28883845,0.099104695,1.0436853,400.9992725,19.17950821,20.13991,18.178747,1.9611626
0.47587854,1.64E+18,Gaia DR3 2681946496391409664,2.68E+18,332.0646736,0.463518143,0.475844889,0.461883754,0.0330023,0.5692052,0.057979617,1.0041789,193.1307808,19.97273827,21.00105,18.875889,2.1251621
38.685072,1.64E+18,Gaia DR3 910515715085292160,9.11E+17,131.2002527,0.741816461,38.68507523,0.522602081,0.035849592,0.92897826,0.038590346,1.0870733,118.535223,20.50274849,21.481817,19.321278,2.1605396
45.932483,1.64E+18,Gaia DR3 1010603090329602816,1.01E+18,135.1380124,0.282007992,45.9324499,0.23675938,0.040935015,0.3739023,0.109480515,0.97467196,282.0160628,19.56168175,20.519722,18.62825,1.8914719
0.75813493,1.64E+18,Gaia DR3 3221168366116687360,3.22E+18,83.04305422,0.614593029,0.7581433,0.558431327,0.049679795,0.70159453,0.07080984,1.0679168,156.4912239,20.20114136,21.063354,19.02316,2.0401936
17.39923823,1.64E+18,Gaia DR3 659245662818637568,6.59E+17,129.2762154,0.482487351,17.39925145,0.350810915,0.050277714,0.5760336,0.087282605,1.0157652,180.2366759,20.0477581,21.286354,19.121536,2.1648178
-0.49499205,1.64E+18,Gaia DR3 2641316616872331648,2.64E+18,353.8093192,0.437972546,-0.495044961,0.334397286,0.053021077,0.51212925,0.10353066,1.0170646,237.1688625,19.74972343,20.912767,18.605051,2.3077164
44.8144135,1.64E+18,Gaia DR3 1538853934247208320,1.54E+18,183.9928054,0.295907438,44.81439854,0.346818358,0.053803899,0.5317873,0.101175606,1.0164272,165.1556653,20.142633,20.956303,19.174856,1.7814465
-0.59068067,1.64E+18,Gaia DR3 2689305149759291392,2.69E+18,318.6390909,0.71999979,-0.59069975,0.561521828,0.05758789,0.685465,0.08401288,1.1159034,165.4983108,20.14038277,21.277908,18.9498,2.3281078
39.110634,1.64E+18,Gaia DR3 368571312836214656,3.69E+17,9.259947923,0.322912097,39.11061958,0.293585658,0.062777752,0.42111862,0.1490738,1.2211602,314.4987265,19.44332,18.912422,17.468147,1.4442749
-0.35345136,1.64E+18,Gaia DR3 2681069013097865600,2.68E+18,326.863233,0.330399066,-0.353508559,0.339764148,0.063858131,0.3889259,0.164191,1.0464951,267.0862681,19.62073708,20.249392,18.75615,1.4932423
24.006126,1.64E+18,Gaia DR3 3426175298411293056,3.43E+18,91.74066396,0.100360401,24.00612155,0.090162784,0.06393418,0.10640409,0.6008621,0.9856019,2202.608384,17.33002281,18.606724,16.22524,2.381483
0.56173617,1.64E+18,Gaia DR3 2549086115495974912,2.55E+18,11.66001161,0.405706972,0.56174884,0.256710291,0.065011487,0.49742138,0.13069701,1.0033158,237.0911976,19.750078,20.67598,18.790388,1.8855915
-0.06887414,1.64E+18,Gaia DR3 3257564885350802816,3.26E+18,57.22300409,0.368625164,-0.068870966,0.312095106,0.067739231,0.47065938,0.1439241,0.9349052,222.3359771,19.81984329,20.741259,18.759531,1.9817276
40.440828,1.64E+18,Gaia DR3 1485874211278043136,1.49E+18,214.6091003,0.474161804,40.44071744,0.516255736,0.069279863,0.7229367,0.09583116,1.9970833,196.8439222,19.95206261,20.574045,18.589727,1.9843178
4.55328515,1.64E+18,Gaia DR3 582266689095258880,5.82E+17,131.8356358,0.592185259,4.553251481,0.378533274,0.076216007,0.73009187,0.10439235,1.1882198,168.2898142,20.1222229,21.340363,18.683056,2.6573067
26.18228326,1.64E+18,Gaia DR3 681988854682763264,6.82E+17,121.7534607,0.854287386,26.18219868,0.591776669,0.077569686,0.94980973,0.08166866,0.97789186,113.5728763,20.54918098,21.656445,19.45514,2.2013054
22.830003,1.64E+18,Gaia DR3 3423808810087785984,3.42E+18,91.23136131,0.030537954,22.82999952,0.025797719,0.079707833,0.03365735,2.3682148,1.1526783,24144.16778,14.73033619,16.783117,13.411844,3.371273
21.29429045,1.64E+18,Gaia DR3 1241357943543598592,1.24E+18,220.964194,0.470142573,21.29426335,0.522781491,0.081167232,0.72185034,0.1124433,1.1341124,126.5146592,20.43201447,21.09418,19.343418,1.750761
0.393707,1.64E+18,Gaia DR3 3083716428959780608,3.08E+18,122.4990931,0.012389451,0.393732885,0.009789425,0.08319976,0.01743969,4.7707133,1.0391871,102448.5831,13.16110229,14.049959,12.237465,1.8124943
23.151235,1.64E+18,Gaia DR3 3423855676770690432,3.42E+18,91.54222189,0.021954956,23.15109141,0.017783249,0.085483305,0.024744445,3.454646,1.1055797,26950.26504,14.61095905,16.288338,13.377511,2.9108267
22.350901,1.64E+18,Gaia DR3 3423743767103648256,3.42E+18,91.15449087,0.018100724,22.3510338,0.015808014,0.091383148,0.020469995,4.4642487,1.0432227,36169.99641,14.29149532,15.869493,13.093852,2.7756405
26.57604442,1.64E+18,Gaia DR3 3997412923806939520,4.00E+18,169.2848804,0.777820408,26.57595375,0.628825009,0.093139913,0.8147374,0.11431894,1.1697309,145.1305052,20.28297043,21.136482,19.050919,2.0855637
45.42007743,1.64E+18,Gaia DR3 1010509425683181568,1.01E+18,135.1422107,0.318868309,45.42004088,0.293591499,0.102258898,0.4242862,0.24101397,1.0174932,243.8567047,19.71953011,20.532177,18.687588,1.8445892
8.280675,1.64E+18,Gaia DR3 2568914227155206656,2.57E+18,28.73940199,0.804772615,8.280691451,0.58342135,0.104598528,0.86414844,0.12104232,1.579641,270.9456901,19.60516167,18.335823,17.21479,1.1210327
-1.25821613,1.64E+18,Gaia DR3 3261731171130068480,3.26E+18,52.00418709,0.452733576,-1.258237513,0.388006777,0.107135779,0.46574736,0.23002982,1.0817908,241.2944547,19.73099899,20.608047,18.704647,1.9034004
24.911396,1.64E+18,Gaia DR3 3428059895702874240,3.43E+18,89.52263192,0.093853235,24.91140023,0.078700118,0.111829618,0.11487689,0.97347355,1.0255243,2230.947059,17.316143,17.844582,16.62802,1.2165623
0.61980974,1.64E+18,Gaia DR3 3263893738702820096,3.26E+18,55.35774038,0.2535218,0.619804648,0.22155045,0.11225871,0.32613614,0.34420815,0.9529526,319.395249,19.4265461,20.213968,18.574917,1.6390514
0.26016715,1.64E+18,Gaia DR3 2681344165883239936,2.68E+18,329.1114406,0.457070619,0.260127693,0.425543308,0.114108317,0.5739587,0.19880928,1.0044237,219.4270914,19.83414078,21.024498,18.698074,2.3264236
-5.29066912,1.64E+18,Gaia DR3 6913510557455899008,6.91E+18,312.5228506,0.476774752,-5.29066214,0.303529233,0.114721285,0.6427129,0.17849539,1.0234301,160.7072617,20.172277,20.788338,19.222986,1.5653515
-1.24135919,1.64E+18,Gaia DR3 2685974518586270080,2.69E+18,320.6302178,0.373240709,-1.241387896,0.299034297,0.115376619,0.35326254,0.32660303,1.0720183,327.1303798,19.40056419,20.620823,18.413801,2.2070217
0.60562329,1.64E+18,Gaia DR3 3266883452553246208,3.27E+18,47.51566989,0.430188566,0.605608067,0.433270842,0.117040839,0.4958267,0.23605192,0.93018246,206.836314,19.89830017,20.636456,18.79592,1.8405361
32.353742,1.64E+18,Gaia DR3 171672591600781440,1.72E+17,67.43086828,0.096904747,32.35376247,0.07052049,0.117679677,0.11237944,1.0471637,0.96428865,1662.328217,17.63557434,18.070728,17.028364,1.0423641
1.15917333,1.64E+18,Gaia DR3 3266985290522481792,3.27E+18,49.00497183,0.251361787,1.159182943,0.236595199,0.122166267,0.28862843,0.42326486,1.1299125,393.0793663,19.201166,20.183609,18.184164,1.999445
-6.85466737,1.64E+18,Gaia DR3 6898095675021776896,6.90E+18,322.4209093,0.550239861,-6.854687957,0.55638665,0.122902825,0.6649696,0.18482472,1.0022428,142.3652459,20.303858,20.806368,19.51819,1.2881775
38.54210435,1.64E+18,Gaia DR3 719806110442360448,7.20E+17,132.6042696,1.044728041,38.54208799,0.770798206,0.123400028,1.1627208,0.106130406,1.070236,98.64892411,20.70213509,21.23181,19.610718,1.6210918
0.97198239,1.64E+18,Gaia DR3 2681463978291270400,2.68E+18,329.0139337,0.397503316,0.971951935,0.405857295,0.123998753,0.5115148,0.24241479,1.0906516,239.0336387,19.741219,21.095379,18.67288,2.4224987
17.85153892,1.64E+18,Gaia DR3 659342046181552896,6.59E+17,129.1093668,0.310409069,17.85152046,0.254482359,0.124370755,0.37019306,0.33596188,0.9512983,344.7620877,19.3435688,19.992847,18.391182,1.6016655
53.31813376,1.64E+18,Gaia DR3 1992729555355460480,1.99E+18,351.5378608,0.42739594,53.31812683,0.491645694,0.125028333,0.6397761,0.19542514,1.1154478,133.6986081,20.37204933,21.40762,19.190634,2.2169857
50.51750606,1.64E+18,Gaia DR3 1559433046707822080,1.56E+18,203.325907,0.552326381,50.51745961,0.763005257,0.125928171,0.8641542,0.14572418,1.1172843,102.1526102,20.6642437,21.337543,19.5438,1.7937431
-1.15315167,1.64E+18,Gaia DR3 2542473858725135232,2.54E+18,9.709837665,0.339448601,-1.153169462,0.23002629,0.127015633,0.3775991,0.33637697,1.1260788,319.7261826,19.42542,20.455738,18.42556,2.030178
27.48345611,1.64E+18,Gaia DR3 1305162392850786944,1.31E+18,246.4327885,0.202394888,27.48338809,0.250935853,0.131992306,0.3106034,0.42495444,1.0247291,245.4220283,19.71258354,20.77236,18.588888,2.1834717
-0.53993211,1.64E+18,Gaia DR3 2641282635091369088,2.64E+18,354.7634921,0.267086655,-0.539919729,0.22147952,0.1353116,0.30625582,0.4418254,1.1401285,461.8777234,19.02604866,20.057888,18.029518,2.02837
19.57205,1.64E+18,Gaia DR3 1239959875854041088,1.24E+18,214.8364533,0.6512205,19.57202194,0.936267614,0.135976745,1.0484142,0.12969753,1.0041003,109.8081244,20.5857811,21.137182,19.519026,1.6181564
17.3433263,1.64E+18,Gaia DR3 658923200970568576,6.59E+17,128.483638,0.510328114,17.34332207,0.37132591,0.136783982,0.5879252,0.23265542,0.89694107,186.0931819,20.01304054,20.684816,19.013475,1.671341
0.835177,1.64E+18,Gaia DR3 2537906002092137984,2.54E+18,16.59916136,0.498245627,0.835168919,0.299642414,0.141491781,0.5702079,0.24814068,1.0849407,211.4155779,19.87452507,20.791819,18.96729,1.8245277
-1.03169703,1.64E+18,Gaia DR3 2449744037336677376,2.45E+18,359.5367803,0.389941901,-1.0317214,0.321144551,0.15118409,0.4607832,0.3281024,1.0165018,249.8983714,19.692959,20.721899,18.757055,1.9648438
-0.87937892,1.64E+18,Gaia DR3 2449654113605551872,2.45E+18,0.919207037,0.422177792,-0.879422124,0.288297892,0.152404618,0.47700027,0.31950635,1.0655001,252.1953648,19.683023,20.785973,18.662048,2.1239243
23.763203,1.64E+18,Gaia DR3 3424837746813199872,3.42E+18,89.10593867,0.023974892,23.7631343,0.019218136,0.152946099,0.029109668,5.254134,1.0654893,30427.3914,14.47920513,16.25276,13.220227,3.0325327
0.48395538,1.64E+18,Gaia DR3 2510233184206214272,2.51E+18,25.73443282,0.347931474,0.483945992,0.217211366,0.154423362,0.3800421,0.40633222,1.0016326,352.3236302,19.320013,20.294718,18.382837,1.9118805
21.880199,1.64E+18,Gaia DR3 3423436694122604672,3.42E+18,91.3287493,0.02353883,21.88021265,0.019261161,0.158865702,0.027116625,5.858609,1.1297222,32516.17997,14.40711784,16.169037,13.154627,3.01441
3.0210113,1.64E+18,Gaia DR3 3808875747981231872,3.81E+18,164.1402606,0.321481049,3.020978591,0.280554652,0.160949934,0.44192067,0.36420548,1.0008136,426.8783515,19.1116066,20.06479,18.21647,1.84832
-0.272925,1.64E+18,Gaia DR3 2497927072110957056,2.50E+18,43.80454532,0.351890087,-0.272944531,0.308125764,0.164255698,0.43070436,0.38136533,1.004975,251.8248623,19.6846199,20.538565,18.679214,1.8593502
10.251198,1.64E+18,Gaia DR3 603579485048478592,6.04E+17,134.6311193,0.577338636,10.25121728,0.410608888,0.172701453,0.685729,0.25185087,1.0862046,137.6630876,20.34032249,21.00121,19.354345,1.6468639
63.92166541,1.64E+18,Gaia DR3 1667168251173602176,1.67E+18,218.7311155,0.368178308,63.92164338,0.331836939,0.172897946,0.4030173,0.42900872,1.08946,216.2359728,19.85004616,20.577635,19.007845,1.5697899
47.88080016,1.64E+18,Gaia DR3 1012320493132520064,1.01E+18,136.5301482,0.487876028,47.88080668,0.404513061,0.173021253,0.6798944,0.25448254,1.0128926,138.0992888,20.33688736,21.059515,19.403845,1.6556702
-0.29713831,1.64E+18,Gaia DR3 2542962346830353024,2.54E+18,10.14171946,0.333680511,-0.297161758,0.173381627,0.184236447,0.40934798,0.45007294,1.0086168,331.0887804,19.387506,20.405766,18.454796,1.9509697
19.3936946,1.64E+18,Gaia DR3 1248246173438308992,1.25E+18,207.8924261,0.222811833,19.39353746,0.21410805,0.190899638,0.34225932,0.55776316,1.3683534,457.2499976,19.03698349,19.86971,17.967054,1.9026566
0.21906384,1.64E+18,Gaia DR3 4227400966444957312,4.23E+18,314.6780842,0.508186877,0.219015364,0.180619016,0.19126311,0.40157643,0.47628072,0.9105739,265.0467065,19.62906,20.576193,18.734941,1.8412514
77.50559997,1.64E+18,Gaia DR3 2290548630673459072,2.29E+18,306.3449483,0.369968623,77.50558135,0.344697833,0.193226522,0.35653612,0.541955,0.9885234,151.0194459,20.23978424,21.11108,19.104498,2.0065823
-8.49658318,1.64E+18,Gaia DR3 2618275667812992768,2.62E+18,327.7236929,0.489675522,-8.496637295,0.507509291,0.194663104,0.4930094,0.39484665,1.0401198,211.6498302,19.87332153,20.990042,18.738255,2.2517872
-0.76713634,1.64E+18,Gaia DR3 2545028466618149888,2.55E+18,2.467007306,0.398244351,-0.767156208,0.330222517,0.194969153,0.45531163,0.42821035,1.0470449,257.5186987,19.66034508,20.73704,18.601866,2.1351738
1.22768357,1.64E+18,Gaia DR3 2738412633296270848,2.74E+18,0.606767108,0.621499002,1.227749935,0.494873077,0.20119947,0.71120536,0.28289926,0.9455213,139.4930861,20.32598495,20.966515,19.28158,1.6849346
44.293902,1.64E+18,Gaia DR3 781331864853511424,7.81E+17,161.2055099,0.255346507,44.29385743,0.293753564,0.20172613,0.4781686,0.42187238,1.0446795,209.2295535,19.88580894,20.936768,18.79883,2.1379375
-0.89711114,1.64E+18,Gaia DR3 2545119451205289216,2.55E+18,4.033095905,0.445641756,-0.897088375,0.233258575,0.205312041,0.39799902,0.5158607,1.0276718,365.8449103,19.27912521,20.258228,18.24898,2.0092487
66.17573,1.64E+18,Gaia DR3 1678838635095064576,1.68E+18,194.8133958,0.401019663,66.17572529,0.400255889,0.210426184,0.47152478,0.4462675,1.041058,142.0346034,20.30638123,21.206362,19.247849,1.9585133
20.25464744,1.64E+18,Gaia DR3 1246297667037021056,1.25E+18,212.5874384,0.837128937,20.2545861,1.145822048,0.210898137,1.4093648,0.14964056,1.1337672,94.78765655,20.74548721,21.343538,19.461163,1.8823757
11.75107846,1.64E+18,Gaia DR3 1226269478619708032,1.23E+18,212.7830352,0.355457604,11.75103309,0.312335461,0.21437401,0.42019725,0.5101747,0.96921563,211.4856212,19.87416458,20.523693,18.977968,1.5457249
-1.1232562,1.64E+18,Gaia DR3 3262497809907780096,3.26E+18,51.68118944,0.974198103,-1.123251451,0.937898099,0.215230498,1.041615,0.20663154,0.9549342,110.0953146,20.582945,21.415556,18.853924,2.5616322
9.56790302,1.64E+18,Gaia DR3 1176341656329992448,1.18E+18,217.4028972,0.302673459,9.567929373,0.245429978,0.217045322,0.30978802,0.7006253,0.92099935,290.2315503,19.53050613,20.50582,18.58343,1.92239
0.5658203,1.64E+18,Gaia DR3 2537871298756142720,2.54E+18,16.30596229,0.393195093,0.565802641,0.285275817,0.222549968,0.452333,0.4920047,1.0601218,253.4343578,19.67770386,20.619583,18.701265,1.9183178
16.746921,1.64E+18,Gaia DR3 658246344187870208,6.58E+17,131.6563255,0.364208221,16.74691648,0.176471159,0.224584561,0.42702782,0.5259249,0.9869496,272.0639633,19.60068893,20.130133,18.542366,1.5877666
34.912325,1.64E+18,Gaia DR3 140079602445214336,1.40E+17,42.75078812,0.411032766,34.91230295,0.361863285,0.225665441,0.46693602,0.48328984,5.141599,1556.812509,17.70677567,18.669214,16.468716,2.2004986
-0.35807226,1.64E+18,Gaia DR3 4227492470722946048,4.23E+18,312.8023746,0.464806587,-0.358098478,0.293754011,0.231785963,0.64041495,0.36193088,1.1149164,168.0995441,20.123451,21.280901,18.96145,2.3194504
22.48318,1.64E+18,Gaia DR3 3424139282051515776,3.42E+18,89.26240557,0.239745364,22.48308614,0.193772778,0.233264465,0.27530986,0.8472798,1.1357425,577.5942229,18.78331,19.445765,17.410637,2.0351276
45.93494281,1.64E+18,Gaia DR3 819378364488900096,8.19E+17,140.2458404,0.203349575,45.93488342,0.173793659,0.234394104,0.27008054,0.86786747,1.0024254,381.7920938,19.2328,20.130098,18.31186,1.8182392
