parallax,phot_g_mean_mag,bp_rp
8.608629422,20.947208,2.2032337
7.420597519,15.613229,2.506281
7.092257959,20.463558,0.9370117
6.827756563,16.273571,2.7064133
5.965506011,20.708147,2.1406002
5.86626571,10.831146,0.8518629
5.612455344,15.014118,2.1168566
5.327799013,19.049623,3.317791
4.967826823,17.677135,2.7329311
4.872761138,18.340721,2.809166
4.797800127,19.661625,3.3476524
4.793234518,12.314222,1.0222769
4.696235861,12.302391,0.95592785
4.69241393,17.183651,2.8486614
4.490526214,10.252093,1.1987972
4.248707311,17.4136,2.6158276
4.226958435,20.878601,1.1414242
4.120502105,20.290451,2.801279
4.019290292,20.635868,0.57398415
3.992982488,20.896532,1.2425632
3.98360672,19.00879,3.2393322
3.932592101,20.607674,2.6063519
3.893898285,20.429592,2.5240517
3.756058396,20.88792,0.23011398
3.730197674,20.714138,2.0097866
3.682749365,19.487003,2.87364
3.619563534,20.12484,0.2949295
3.57583422,20.720142,1.4891033
3.450586257,13.022581,1.0208569
3.388465916,19.916424,2.9130268
3.334141442,20.877972,2.492157
3.312066949,19.232416,2.6527023
3.24384838,20.923216,1.865591
3.243757469,17.822948,2.6177444
3.152290268,20.635008,2.2857876
3.102670969,16.180853,2.0484686
3.056313957,19.829521,2.2745533
3.046228402,19.796543,0.103946686
2.99699638,17.62244,2.3859577
2.947217795,19.552229,2.9159336
2.828697394,20.859488,1.3700123
2.822200314,18.885853,2.872898
2.737022924,20.80386,0.6874523
2.736539364,17.900555,2.6168938
2.69590274,20.686323,1.5319977
2.682463943,20.756695,1.9602165
2.660858946,18.414604,2.97398
2.658368612,20.815414,1.3339844
2.647381832,20.633009,1.1468773
2.644636019,16.285772,2.0999823
2.6432394,20.80132,1.7675495
2.606974251,20.541807,2.3674335
2.602896576,14.008324,1.1757212
2.559277645,20.70771,1.7546749
2.54064081,18.975136,3.016386
2.530712367,17.957087,1.760746
2.53008996,20.516415,2.8056793
2.518786507,19.503067,3.0175781
2.517608397,20.785847,1.4942112
2.50944952,20.648272,2.314291
2.507842331,20.725668,1.183855
2.469207238,20.81841,1.5729561
2.46904907,20.744135,1.5928211
2.458260229,18.46929,2.788538
2.431294504,18.028591,2.5008583
2.418899728,20.75265,1.274826
2.409512948,18.3808,2.6662254
2.394896122,20.857607,1.5149288
2.367646151,20.89052,1.3388844
2.342569365,18.544289,2.7232208
2.340422824,20.86795,0.9298439
2.305402028,17.749039,2.5517178
2.279604089,20.773304,0.9186897
2.270156836,18.556036,2.8264809
2.263823096,20.572704,1.937437
2.249869709,17.208326,2.0854073
2.245972442,20.520151,1.8978405
2.245217645,20.434269,0.8667011
2.243731839,20.018673,2.0287247
2.214618773,20.251308,2.2223969
2.214552959,20.652746,0.57130814
2.207080256,20.712494,1.9891739
2.201377581,20.733383,2.538494
2.190042084,20.62963,1.210659
2.179536528,20.780651,1.1971779
2.175414596,20.453682,1.7792053
2.173794285,20.651585,1.6636372
2.173478627,20.753387,0.747488
2.171515061,19.60531,2.855692
2.165717009,18.619774,3.0241032
2.161256593,20.568005,1.6889896
2.159215534,18.014135,2.4270382
2.154915476,18.200521,2.356636
2.153851498,16.978836,2.2455559
2.153077609,19.864168,2.4506054
2.152265961,20.62743,1.5430222
2.151405566,20.512936,1.0923176
2.148551477,20.684986,1.5271015
2.148175095,19.987242,1.6568756
2.140364889,20.006472,2.6088352
2.140136356,20.181458,2.46867
2.127408676,20.32342,2.328188
2.123751421,20.882902,0.7727699
2.114522765,20.710484,2.4740276
2.108335282,20.646002,1.6716175
2.107927651,19.820978,2.8744888
2.095872421,19.778814,2.6904984
2.090451021,16.866503,2.0501642
2.088009495,20.845098,1.2624073
2.084216479,20.870914,2.5349712
2.069206267,20.81837,2.0523052
2.066090934,18.374222,2.6496525
2.063615963,20.716812,1.2626266
2.062133164,20.66201,1.84091
2.058531957,19.077309,3.058838
2.056846464,11.2714205,0.75082684
2.055876867,20.319414,2.3238525
2.051259024,17.213284,2.3454418
2.048789276,20.571604,1.6005096
2.046867436,20.584394,0.98342514
2.041749117,20.750214,1.7947502
2.039889701,19.614584,2.6833248
2.030378333,20.902672,2.0393486
2.02804265,18.282112,2.5530605
2.025273022,20.509747,1.862051
2.023271069,18.73358,3.0057144
2.018122717,18.674288,2.5021648
2.013757132,20.745142,0.47902107
2.009362148,13.797616,0.9832201
2.008572356,19.271748,2.8329105
1.989340161,20.668858,1.959692
1.986292056,15.24969,1.447257
1.981282738,20.37569,1.7900848
1.975328075,11.991471,1.1636362
1.963579657,20.691477,1.8664589
1.959629912,20.487898,1.999794
1.957792367,17.351824,2.1926403
1.953375468,16.358707,1.9548998
1.94875033,20.730053,1.9704247
