designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag
Gaia DR3 505427804330203392,505427804330203392,31.075982051658375,58.03524385896755,0.6766648560467886,0.033833243,1.0818663,10868.93964579391,3.2361498,3358.602,15.596899,4804.554510064636,10.68243,449.7623,16.134409,8619.133226560678,13.747767,626.9479,14.909237
Gaia DR3 1734382255974314624,1734382255974314624,311.8799343556717,4.065269958034467,1.266711380495535,0.06333557,1.0848109,3792.7026747194977,1.8884171,2008.4031,16.739994,1429.696405211291,8.744003,163.50594,17.450432,3381.0273262204464,8.661986,390.3293,15.925274
Gaia DR3 5945393627227716352,5945393627227716352,269.0952378480576,-52.21267239513948,0.9743938014873532,0.048719693,1.1073729,7701.223413651161,4.596393,1675.4928,15.970967,3613.156764064137,11.1877165,322.9575,16.443825,5804.033328372097,10.15921,571.30756,15.338571
Gaia DR3 5256013855395757696,5256013855395757696,148.00123628346574,-62.13630400402172,0.28880070001192737,0.0144400345,1.0669972,35137.729397154035,6.148792,5714.5747,14.322932,13349.174185513642,15.247358,875.5073,15.024906,31185.540828777088,19.48848,1600.2039,13.513012
Gaia DR3 4839544448777853056,4839544448777853056,65.18800770341015,-43.287343066015644,2.252018311282316,0.11260091,6.0376353,20239.295083089946,6.2391787,3243.9038,14.921879,8010.2451905316475,14.00067,572.133,15.579428,17332.321879907613,15.848354,1093.6354,14.150754
Gaia DR3 532831413659587072,532831413659587072,16.6066489115383,70.09248247302378,0.46353663428042097,0.023176832,1.0407863,16083.327349090658,4.112575,3910.768,15.171427,5497.406013742948,9.543644,576.028,15.988148,15333.593274217808,13.688266,1120.1998,14.283786
Gaia DR3 3444412829062210560,3444412829062210560,85.13841026274815,29.496848935198877,0.6390254343352071,0.031951267,1.0166194,15612.036156205111,3.801163,4107.174,15.203718,6180.169200331581,14.620577,422.70352,15.861041,13766.103887131268,11.443967,1202.9137,14.400867
Gaia DR3 5902559231207979008,5902559231207979008,230.01461263489034,-49.15861586685016,1.6630571269187417,0.083152846,1.026404,2408.198285385907,1.7763352,1355.7115,17.233137,758.4806187257461,11.244297,67.4547,18.138681,2518.4887431510538,21.42443,117.55219,16.245045
Gaia DR3 5822406207933947264,5822406207933947264,236.54216258347256,-66.30744332699442,0.4578570640490629,0.02289285,1.0077323,18360.47296383993,3.7051566,4955.384,15.0276575,10258.842207124106,8.541332,1201.0822,15.310797,11699.463802297645,6.9393163,1685.9678,14.57748
Gaia DR3 2060421091813445504,2060421091813445504,303.5583317183157,36.0827373018123,0.8875493303315524,0.044377457,1.7059846,11454.773747912137,7.575116,1512.1582,15.539901,4898.308589853286,14.072732,348.07092,16.113426,9963.454389905995,11.443366,870.6752,14.751871
Gaia DR3 1130547237552438272,1130547237552438272,147.51943790738324,76.26557968161144,0.6570312533695974,0.032851554,0.991256,6987.951384622658,2.51187,2781.972,16.076492,3232.373695892633,16.529968,195.54628,16.56474,5114.456684706479,19.911474,256.85977,15.475897
Gaia DR3 5535370966536274944,5535370966536274944,114.72880781054464,-42.92727782966175,1.0034601702807633,0.050173,1.0162799,2921.2548473399843,2.0146515,1450.005,17.023443,1028.530498143524,7.1687517,143.47414,17.807999,2742.1192665752556,8.396556,326.57666,16.15268
Gaia DR3 4075924930328092928,4075924930328092928,279.156157491139,-26.245544915444775,1.8075668270434355,0.090378314,1.2760901,3705.6370969341815,4.5793047,809.2139,16.76521,1095.6721499060463,13.040622,84.01993,17.73934,4081.3221600476213,11.23475,363.27664,15.720893
Gaia DR3 394674474794843520,394674474794843520,6.703626997008931,50.43968634530798,1.1888705986579504,0.05944351,1.1269387,4327.868130747012,2.483109,1742.9231,16.596682,1750.211878576615,8.83456,198.10968,17.230816,3756.0828890114994,8.41016,446.61252,15.811058
Gaia DR3 4470357134563239680,4470357134563239680,272.844518423606,4.359562498726514,0.7433954403373675,0.037169762,0.98641896,11486.085199587487,4.373893,2626.0554,15.536937,5909.490076955168,12.249994,482.4076,15.909667,7957.9519174594025,15.267253,521.2432,14.995893
Gaia DR3 5998972450905257728,5998972450905257728,232.4507551076889,-46.81400727988406,0.7060744679049201,0.035303716,0.9677988,12928.671275289136,3.6092834,3582.0603,15.408483,6470.671567058892,9.115032,709.89014,15.811169,9258.915049990432,10.332639,896.0843,14.831495
Gaia DR3 4063470555986293632,4063470555986293632,268.2722690750943,-27.840792649974965,0.8603942336373175,0.0430197,0.9722497,7112.390359364063,2.8606362,2486.2966,16.057327,3179.460653339686,5.6105704,566.69116,16.582659,5655.602969600179,12.292283,460.09378,15.366698
Gaia DR3 3736777545028142720,3736777545028142720,198.5050301580479,12.646324373426724,0.6568836462666062,0.032844175,1.0136112,10948.365653375698,3.0492132,3590.5544,15.588994,6289.356383957323,11.194063,561.8475,15.842027,6780.435930012468,10.846955,625.1004,15.169751
Gaia DR3 5736155980334693376,5736155980334693376,137.33281517932804,-11.695644712582691,1.1258811864223772,0.05629404,0.9896394,5329.815648649542,2.3444054,2273.419,16.370586,2144.686262508603,9.475173,226.34798,17.010134,4551.425272163375,8.653895,525.9395,15.602527
Gaia DR3 1990218133362437760,1990218133362437760,345.30849502833524,52.81546753675572,0.221592600974088,0.011079626,1.0269012,173847.0360309009,27.08905,6417.613,12.586948,62592.02402580648,36.61424,1709.4995,13.347244,159816.25947576063,58.31483,2740.5767,11.738843
Gaia DR3 1839378671465352832,1839378671465352832,315.5078023784481,23.23685810992624,0.5481385041526986,0.027406916,0.97249025,16652.719086545487,4.6273394,3598.7676,15.133654,8290.86098607163,14.616495,567.2263,15.542043,11981.025994019847,17.83009,671.95544,14.551661
