R.A.,Decl.,Object,Ks,V − Ks,M_{K_{s}},Vtan,Old type,New type,Metallicity,Gravity,Ref.,Ref.,Ref.
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,km s−1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,π,V,spect
12 06 00.9,+14 38 56.8,G012 − 016,7.931 ± 0.018,2.16,4.12,98.4,K2,GVI,(−0.52)a,,H,2,2
01 04 26.4,−02 21 59.8,G070 − 035,7.116 ± 0.020,2.04,4.15,55.8,G5,GVI,(−0.67)a,,H,4,H
02 25 49.8,+05 53 39.5,G073 − 056,10.427 ± 0.023,2.06,8.64,44.9,,GVI,(−1.18)b,,H,4,
07 54 34.1,−01 24 44.3,G112 − 054,5.425 ± 0.023,2.00,4.01,23.7,K1,GVI,(−0.94)c,,H,1,2
16 13 48.6,−57 34 13.8,LHS0413,5.293 ± 0.024,2.24,4.60,106.5,G8/K0V(W),GVI,(−1.35)c,,H,1,10
,,,,,,,,,,,,,
15 45 52.4,+05 02 26.6,G016 − 009AB,6.880 ± 0.024,2.27,3.46,59.2,K2V,K3.0[VI],"m−, (−0.77)d",g,H,H,3
,,,,,,,,,,,,,
00 50 17.0,−39 30 08.3,LHS0125,11.452 ± 0.026,2.88,7.73,342.6,,K4.0[VI],m−,g,R,R,
07 35 46.3,+03 29 36.0,LHS0232,10.841 ± 0.024,2.84,6.57,346.0,,K4.0[VI],m−,g,Y,R,
12 25 50.7,−24 33 17.8,LHS0327,10.144 ± 0.021,2.57,5.44,418.3,K0V,K4.0[VI],m−,g,R,R,2
11 52 32.0,+27 30 51.3,LHS2467,9.806 ± 0.017,2.43,4.94,437.0,G7V,K4.0[VI],m−,g,H,R,2
,,,,,,,,,,,,,
19 07 02.0,+07 36 57.3,G022 − 015,6.469 ± 0.018,2.71,4.54,97.2,K5V,K5.0[VI],"m−, (−0.61)e",g,H,H,2
21 32 11.9,+00 13 18.0,G026 − 009ACD,7.082 ± 0.029,2.64,3.62,96.9,K2V,K5.0[VI],"m−, (−1.05)f",g,H,H,2
05 54 34.1,−09 23 33.7,GJ0223.1,7.760 ± 0.020,2.96,4.84,82.1,K4V,K5.0[VI],"m−, (−0.62)e",g,H,1,9
,,,,,,,,,,,,,
04 32 36.6,−39 02 03.4,LHS0193A,8.427 ± 0.023,3.23,5.80,147.3,,K6.0VI,m−,g,R,16,
23 43 16.7,−24 11 16.4,LHS0073,9.393 ± 0.021,3.42,7.27,322.3,K5V,K6.0VI,m−,g+,Y,19,2
07 13 40.6,−13 27 57.1,LHS0227,11.036 ± 0.023,3.41,7.15,362.5,,K6.0VI,m−,g+,Y,R,
02 52 45.7,+01 55 49.4,LHS0161,10.995 ± 0.019,3.65,8.01,272.6,esdM2,K6.0VI,m−,g++,Y,R,8
,,,,,,,,,,,,,
03 01 40.6,−34 57 56.5,LHS0164,10.641 ± 0.024,2.92,8.20,192.6,,K7.0VI,m− −,g,R,R,
05 15 45.1,−72 11 22.2,DEN0515 − 7211,13.211 ± 0.040,3.29,9.72,4.7,,K7.0VI:,m− −,g,7,7,
07 08 32.0,−47 09 30.5,SCR0708 − 4709,10.764 ± 0.025,3.05,…,…,,K7.0VI:,m− −,g,,R,
13 25 14.0,−21 27 06.0,LHS2734A,12.896 ± 0.037,3.23,too far,>280,,K7.0VI,m−,g,R,R,
,,,,,,,,,,,,,
03 06 28.7,−07 40 41.5,LHS0165,11.006 ± 0.025,3.42,7.67,333.1,,M0.0VI,m− − −,g+:,Y,R,
11 11 13.7,−41 05 32.7,LHS0300A,9.802 ± 0.023,3.38,7.23,197.5,,M0.0VI:,m− −,g,11,16,
16 25 14.0,+15 40 54.2,LHS0418,10.072 ± 0.018,3.37,6.44,301.5,K7V,M0.0VI,m− −,g,Y,R,8
16 37 05.6,−01 32 01.6,LHS0424,10.803 ± 0.022,3.37,7.39,279.6,,M0.0VI,m− −,g,Y,R,
08 13 27.8,−09 27 56.6,LHS0244,10.729 ± 0.023,3.64,6.88,412.7,,M0.0VI,m−,g++:,Y,19,
,,,,,,,,,,,,,
22 27 59.0,−30 09 30.0,LHS0521,11.463 ± 0.019,3.22,8.14,222.1,,M0.5VI:,m− − −,g,11,11,
21 21 34.8,−19 03 38.6,LHS0507,12.053 ± 0.026,3.15,7.81,355.2,K/M sd,M0.5VI,m− − −,g+,Y,R,Y
15 39 39.0,−55 09 10.0,LHS0401,9.407 ± 0.019,3.31,7.33,142.2,,M0.5VI,m− − −,g++,Y,R,
02 42 26.3,−59 35 01.6,SCR0242 − 5935,12.783 ± 0.031,3.40,…,…,,M0.5VI,m− −,g,,R,
07 09 37.2,−46 48 58.8,SCR0709 − 4648,11.491 ± 0.026,3.41,…,…,,M0.5VI,m− −,g,,R,
11 07 55.8,−41 35 52.7,SCR1107 − 4135,11.474 ± 0.019,3.49,…,…,,M0.5VI,m− −,g,,R,
17 39 45.4,−82 22 02.2,SCR1739 − 8222,12.190 ± 0.026,3.48,…,…,,M0.5VI,m− −,g,,R,
02 02 52.2,+05 42 21.0,LHS0012,8.684 ± 0.020,3.56,6.32,342.1,sdM0,M0.5VI,m−,g,Y,13,8
11 11 22.6,−06 31 56.4,LHS0299,11.143 ± 0.024,3.64,6.54,437.3,,M0.5VI:,m−,g,Y,R,
14 18 20.4,−52 24 12.6,LHS0367,9.786 ± 0.019,3.41,6.26,268.6,,M0.5VI:,m−,g,7,7,
04 06 06.7,−67 35 28.8,SCR0406 − 6735,12.804 ± 0.031,3.54,…,…,,M0.5VI,m−,g,,R,
04 33 26.5,−77 40 09.7,SCR0433 − 7740,13.361 ± 0.034,3.50,…,…,,M0.5VI,m−,g,,R,
14 33 03.3,−38 46 59.6,SCR1433 − 3847,13.592 ± 0.046,3.62,…,…,,M0.5VI,m−,g,,R,
18 43 35.7,−78 49 02.5,SCR1843 − 7849,12.591 ± 0.026,3.55,…,…,,M0.5VI,m−,g,,R,
19 58 31.2,−56 09 10.6,SCR1958 − 5609,12.525 ± 0.033,3.51,…,…,,M0.5VI,m−,g,,R,
13 46 55.5,+05 42 56.4,LHS0360,11.662 ± 0.023,3.50,6.73,524.0,,M0.5VI:,m−,g+,7,7,
,,,,,,,,,,,,,
22 20 27.0,−24 21 49.3,LHS0518,10.393 ± 0.021,3.24,7.07,230.7,,M1.0VI,m− − − − − −,g,11,11,
07 01 17.7,−06 55 49.3,SCR0701 − 0655,12.996 ± 0.030,…,…,…,,M1.0VI,m− − − − − −,g+,,,
01 53 09.0,−33 25 02.1,LHS0148,12.832 ± 0.032,3.59,8.59,374.8,,M1.0VI,m− − − − −,g+:,6,6,
