RA,DEC
15 45 52.4,+05 02 26.6
00 50 17.0,-39 30 08.3
07 35 46.3,+03 29 36.0
12 25 50.7,-24 33 17.8
11 52 32.0,+27 30 51.3
19 07 02.0,+07 36 57.3
21 32 11.9,+00 13 18.0
05 54 34.1,-09 23 33.7
04 32 36.6,-39 02 03.4
23 43 16.7,-24 11 16.4
07 13 40.6,-13 27 57.1
02 52 45.7,+01 55 49.4
03 01 40.6,-34 57 56.5
05 15 45.1,-72 11 22.2
07 08 32.0,-47 09 30.5
13 25 14.0,-21 27 06.0
03 06 28.7,-07 40 41.5
11 11 13.7,-41 05 32.7
16 25 14.0,+15 40 54.2
16 37 05.6,-01 32 01.6
08 13 27.8,-09 27 56.6
22 27 59.0,-30 09 30.0
21 21 34.8,-19 03 38.6
15 39 39.0,-55 09 10.0
02 42 26.3,-59 35 01.6
07 09 37.2,-46 48 58.8
11 07 55.8,-41 35 52.7
17 39 45.4,-82 22 02.2
02 02 52.2,+05 42 21.0
11 11 22.6,-06 31 56.4
14 18 20.4,-52 24 12.6
04 06 06.7,-67 35 28.8
04 33 26.5,-77 40 09.7
14 33 03.3,-38 46 59.6
18 43 35.7,-78 49 02.5
19 58 31.2,-56 09 10.6
13 46 55.5,+05 42 56.4
22 20 27.0,-24 21 49.3
07 01 17.7,-06 55 49.3
01 53 09.0,-33 25 02.1
01 53 09.0,-33 25 02.1
00 17 40.0,-10 46 16.9
21 04 00.5,-52 29 43.5
14 55 35.8,-15 33 44.0
14 55 51.5,-39 14 33.1
12 34 53.1,+05 03 54.1
21 09 02.5,-52 26 17.8
01 31 04.1,-50 24 54.3
06 54 06.3,-73 58 03.6
14 57 49.0,-39 04 51.4
16 13 53.5,-30 40 58.4
17 56 27.9,-59 27 18.2
20 18 28.7,-66 06 44.5
05 29 40.9,-39 50 25.6
21 01 45.6,-54 37 31.9
08 01 29.0,+10 43 04.2
13 25 14.0,-21 27 06.0
02 42 02.9,-44 30 58.7
17 18 35.0,-43 26 24.0
18 22 58.7,-45 42 45.3
07 56 13.4,-67 05 20.6
11 56 54.8,+26 39 56.3
05 11 40.6,-45 01 06.0
02 56 13.2,-35 08 26.9
21 04 25.5,-27 52 48.5
04 03 38.4,-05 08 05.4
15 43 18.3,-20 15 33.0
00 55 43.8,-21 13 05.5
06 29 56.4,-69 38 13.4
12 24 26.8,-04 43 36.7
15 34 27.7,+02 16 47.5
23 17 05.0,-13 51 04.1
22 04 02.2,-33 47 38.9
17 40 46.9,-56 46 58.0
19 16 46.5,-36 38 05.8
04 25 38.4,-06 52 37.0
07 16 27.7,+23 42 10.4
13 42 21.2,-35 34 50.7
04 11 27.1,-44 18 09.0
09 43 46.2,-17 47 06.2
14 50 28.8,-08 38 36.8
14 31 38.4,-25 25 33.9
01 38 49.0,+11 21 36.7
21 55 48.0,-11 21 42.1
05 00 15.3,-54 06 09.0
03 02 06.3,-39 50 51.8
12 34 15.7,+20 37 05.7
08 53 57.0,-24 46 54.0
