RA,dec,RAdeg,DEdeg
15 45 52.4,+05 02 26.6,236.4683333333333,5.040722222222222
00 50 17.0,-39 30 08.3,12.570833333333331,-39.50230555555556
07 35 46.3,+03 29 36.0,113.94291666666665,3.493333333333333
12 25 50.7,-24 33 17.8,186.46124999999998,-24.554944444444445
11 52 32.0,+27 30 51.3,178.13333333333333,27.51425
19 07 02.0,+07 36 57.3,286.75833333333327,7.615916666666666
21 32 11.9,+00 13 18.0,323.0495833333333,0.22166666666666668
05 54 34.1,-09 23 33.7,88.64208333333333,-9.392694444444444
04 32 36.6,-39 02 03.4,68.15249999999999,-39.034277777777774
23 43 16.7,-24 11 16.4,355.81958333333324,-24.18788888888889
07 13 40.6,-13 27 57.1,108.41916666666665,-13.46586111111111
02 52 45.7,+01 55 49.4,43.190416666666664,1.9303888888888887
03 01 40.6,-34 57 56.5,45.41916666666666,-34.965694444444445
05 15 45.1,-72 11 22.2,78.93791666666665,-72.18950000000001
07 08 32.0,-47 09 30.5,107.13333333333333,-47.15847222222222
13 25 14.0,-21 27 06.0,201.3083333333333,-21.451666666666664
03 06 28.7,-07 40 41.5,46.619583333333324,-7.678194444444444
11 11 13.7,-41 05 32.7,167.8070833333333,-41.09241666666667
16 25 14.0,+15 40 54.2,246.3083333333333,15.681722222222222
16 37 05.6,-01 32 01.6,249.2733333333333,-1.5337777777777777
08 13 27.8,-09 27 56.6,123.36583333333331,-9.465722222222222
22 27 59.0,-30 09 30.0,336.9958333333333,-30.15833333333333
21 21 34.8,-19 03 38.6,320.395,-19.06072222222222
15 39 39.0,-55 09 10.0,234.9125,-55.15277777777778
02 42 26.3,-59 35 01.6,40.60958333333333,-59.58377777777778
07 09 37.2,-46 48 58.8,107.405,-46.81633333333333
11 07 55.8,-41 35 52.7,166.9825,-41.597972222222225
17 39 45.4,-82 22 02.2,264.9391666666666,-82.36727777777777
02 02 52.2,+05 42 21.0,30.717499999999994,5.7058333333333335
11 11 22.6,-06 31 56.4,167.84416666666664,-6.532333333333333
14 18 20.4,-52 24 12.6,214.58499999999998,-52.4035
04 06 06.7,-67 35 28.8,61.527916666666655,-67.59133333333332
04 33 26.5,-77 40 09.7,68.36041666666665,-77.66936111111112
14 33 03.3,-38 46 59.6,218.26375,-38.78322222222222
18 43 35.7,-78 49 02.5,280.89874999999995,-78.81736111111111
19 58 31.2,-56 09 10.6,299.62999999999994,-56.152944444444444
13 46 55.5,+05 42 56.4,206.73125,5.7156666666666665
22 20 27.0,-24 21 49.3,335.11249999999995,-24.363694444444445
07 01 17.7,-06 55 49.3,105.32374999999999,-6.930361111111111
01 53 09.0,-33 25 02.1,28.287499999999994,-33.417249999999996
01 53 09.0,-33 25 02.1,28.287499999999994,-33.417249999999996
00 17 40.0,-10 46 16.9,4.416666666666666,-10.771361111111112
21 04 00.5,-52 29 43.5,316.00208333333325,-52.49541666666667
14 55 35.8,-15 33 44.0,223.89916666666664,-15.562222222222223
14 55 51.5,-39 14 33.1,223.9645833333333,-39.24252777777778
12 34 53.1,+05 03 54.1,188.72124999999997,5.065027777777778
21 09 02.5,-52 26 17.8,317.26041666666663,-52.43827777777778
01 31 04.1,-50 24 54.3,22.76708333333333,-50.415083333333335
06 54 06.3,-73 58 03.6,103.52625,-73.96766666666667
14 57 49.0,-39 04 51.4,224.45416666666662,-39.08094444444445
16 13 53.5,-30 40 58.4,243.47291666666658,-30.68288888888889
17 56 27.9,-59 27 18.2,269.11625,-59.45505555555556
20 18 28.7,-66 06 44.5,304.6195833333333,-66.1123611111111
05 29 40.9,-39 50 25.6,82.42041666666667,-39.840444444444444
21 01 45.6,-54 37 31.9,315.43999999999994,-54.625527777777776
08 01 29.0,+10 43 04.2,120.37083333333334,10.717833333333333
13 25 14.0,-21 27 06.0,201.3083333333333,-21.451666666666664
02 42 02.9,-44 30 58.7,40.51208333333333,-44.516305555555554
17 18 35.0,-43 26 24.0,259.6458333333333,-43.44
18 22 58.7,-45 42 45.3,275.7445833333333,-45.712583333333335
07 56 13.4,-67 05 20.6,119.05583333333333,-67.08905555555555
11 56 54.8,+26 39 56.3,179.22833333333332,26.66563888888889
05 11 40.6,-45 01 06.0,77.91916666666667,-45.01833333333333
02 56 13.2,-35 08 26.9,44.055,-35.14080555555555
21 04 25.5,-27 52 48.5,316.10625,-27.88013888888889
04 03 38.4,-05 08 05.4,60.90999999999998,-5.134833333333334
15 43 18.3,-20 15 33.0,235.82625,-20.259166666666665
00 55 43.8,-21 13 05.5,13.932499999999997,-21.218194444444443
06 29 56.4,-69 38 13.4,97.48499999999999,-69.63705555555556
12 24 26.8,-04 43 36.7,186.11166666666665,-4.726861111111111
15 34 27.7,+02 16 47.5,233.61541666666665,2.279861111111111
23 17 05.0,-13 51 04.1,349.2708333333333,-13.851138888888888
22 04 02.2,-33 47 38.9,331.00916666666666,-33.79413888888889
17 40 46.9,-56 46 58.0,265.1954166666667,-56.782777777777774
19 16 46.5,-36 38 05.8,289.1937499999999,-36.63494444444444
04 25 38.4,-06 52 37.0,66.41,-6.876944444444445
07 16 27.7,+23 42 10.4,109.11541666666666,23.70288888888889
13 42 21.2,-35 34 50.7,205.58833333333328,-35.58075
04 11 27.1,-44 18 09.0,62.86291666666666,-44.302499999999995
09 43 46.2,-17 47 06.2,145.94249999999997,-17.78505555555556
14 50 28.8,-08 38 36.8,222.61999999999998,-8.643555555555555
14 31 38.4,-25 25 33.9,217.91,-25.426083333333334
01 38 49.0,+11 21 36.7,24.704166666666662,11.360194444444444
21 55 48.0,-11 21 42.1,328.94999999999993,-11.361694444444444
05 00 15.3,-54 06 09.0,75.06374999999998,-54.1025
03 02 06.3,-39 50 51.8,45.52624999999999,-39.847722222222224
12 34 15.7,+20 37 05.7,188.56541666666664,20.61825
08 53 57.0,-24 46 54.0,133.48749999999998,-24.781666666666666
