,RAdeg,DEdeg,pmRA,pmDE,e_RAdeg,e_DEdeg,e_pmRA,e_pmDE,flag,Jmag,Hmag,Ksmag,SpType,Dist
0,91.251942,21.45003,12.7,-2.0,63,63,4.1,4.1,P,13.101,12.463,12.303,dM0.0+,263
1,91.418262,21.382317,3.0,-12.1,63,63,4.0,4.0,P,14.267,13.53,13.333,dK7.0-,541
2,91.470315,21.551775,35.5,-55.2,66,66,5.3,5.3,P,12.108,11.521,11.289,dM1.5,126
3,91.286424,21.496391,1.9,-12.4,63,63,4.1,4.1,P,13.621,13.011,12.732,dM3.5+,139
4,90.506862,20.961156,-1.1,-11.3,63,63,3.9,3.9,P,14.448,13.716,13.536,dK7.5-,536
5,90.285509,20.946707,6.4,-25.5,63,63,3.9,3.9,P,12.804,12.124,11.969,dK7.5+,251
6,90.351321,22.957841,1.5,-13.3,63,63,3.9,3.9,P,13.607,12.954,12.754,dK7.0,399
7,89.483498,23.2136,-7.6,-9.7,72,72,5.2,5.2,P,15.65,14.945,14.592,dK7.5-,933
8,89.65543,23.273896,-2.4,-23.7,63,63,3.8,3.8,P,12.085,11.409,11.252,dK7.0,198
9,90.002328,23.711426,117.4,42.7,63,63,3.8,3.8,P,11.606,11.012,10.801,dM0.0,132
10,89.64962,22.753183,9.7,-15.6,63,63,3.8,3.8,P,14.436,13.842,13.494,dM2.5+,307
11,89.600591,22.841487,1.5,-9.1,63,63,3.8,3.8,P,15.044,14.241,14.031,dK7.5-,705
12,90.582224,23.475601,2.8,-7.9,63,63,3.9,3.9,P,13.951,13.307,13.118,dK7.5-,426
13,91.631493,23.442842,3.4,-9.0,63,63,4.1,4.1,P,14.889,14.131,14.022,dK7.0,720
14,91.23135,22.830003,0.9,-3.0,94,94,4.6,4.6,P,10.913,9.664,9.243,dM0.5+,87
15,91.482921,23.062835,-1.6,-3.0,63,63,4.1,4.1,P,12.094,11.426,11.245,dM0.0-,165
16,90.460115,23.145891,-2.7,0.0,63,63,3.9,3.9,P,13.649,13.02,12.892,dK7.0,407
17,90.647796,23.181593,2.9,-79.0,36,24,10.8,10.6,P,11.178,10.606,10.35,dM0.5-,98
18,90.714081,23.076211,16.0,-17.6,63,63,4.1,4.1,P,11.839,11.213,11.011,dK7.0,176
19,91.275276,23.636682,5.6,-0.7,75,75,5.7,5.7,P,15.775,15.188,14.948,sdM0.0,623
20,91.161463,23.728079,-8.7,-12.2,68,68,4.1,4.1,P,15.644,14.774,14.511,dM0.5-,774
21,91.377069,23.722536,-2.8,0.1,63,63,4.0,4.0,P,14.551,13.82,13.681,dK7.5+,562
22,91.653166,23.100161,-11.8,-19.5,63,63,4.1,4.1,P,14.054,13.386,13.189,dM1.0-,339
23,90.66921,22.252203,-14.0,-24.6,63,63,3.9,3.9,P,11.168,10.547,10.348,dK7.5,118
24,91.171104,22.048929,1.6,-0.9,63,63,4.1,4.1,P,12.889,12.196,12.031,dM0.5,217
25,90.406923,21.980196,-0.2,-7.6,63,63,3.9,3.9,P,13.922,13.169,13.016,dM0.5,350
26,92.92529,23.088071,2.3,-8.6,63,63,4.1,4.1,P,14.938,14.137,13.95,dM1.5,465
27,93.392264,22.433559,33.6,-2.8,63,63,4.1,4.1,P,11.864,11.302,11.076,dM2.0,102
28,93.278488,22.373676,-2.4,-19.6,63,63,4.1,4.1,P,13.57,12.939,12.752,dM1.0-,271
29,91.770209,24.237443,5.4,-9.2,63,63,4.1,4.1,P,14.411,13.805,13.515,dM0.5-,438
30,92.030892,24.365379,8.0,-13.3,63,63,4.1,4.1,P,12.988,12.384,12.221,dK7.0,300
31,91.571149,24.467762,-4.1,-2.3,66,66,4.1,4.1,P,15.161,14.495,14.249,dK7.0-,816
32,92.199571,23.339343,3.1,-21.8,63,63,4.1,4.1,P,12.945,12.266,12.061,dM1.0-,203
33,90.602768,25.236789,0.0,-2.0,66,66,4.2,4.2,P,15.415,14.599,14.319,dK7.0-,918
34,91.796991,25.443944,-0.5,-38.5,63,63,4.1,4.1,P,14.025,13.355,13.159,dM1.0,334
35,91.586723,25.178974,-1.0,2.0,68,68,4.2,4.2,P,15.402,14.652,14.497,dK7.0-,912
36,90.677274,24.913677,3.8,-0.2,71,71,5.6,5.6,P,15.638,14.743,14.476,dK7.5+,928
37,91.077957,25.575545,17.0,-57.0,66,66,5.6,5.6,P,12.211,11.675,11.408,dM3.0-,89
38,92.697349,24.855232,3.4,-12.2,63,63,4.1,4.1,P,14.707,14.035,13.771,dM1.5-,418
39,92.342168,25.285717,5.4,-3.0,65,65,4.1,4.1,P,15.311,14.556,14.198,dK7.5+,798
40,91.978141,25.099002,30.2,-16.2,63,63,4.1,4.1,P,14.009,13.395,13.09,dM4.0,135
41,92.144056,25.092559,4.2,-0.4,63,63,4.1,4.1,P,14.304,13.623,13.357,dM0.0+,457
42,91.983693,25.064365,1.5,-8.8,63,63,4.1,4.1,P,14.778,14.057,13.796,dM0.5-,519
43,92.370568,24.698779,38.8,24.5,69,69,5.6,5.6,P,14.446,13.654,13.459,dM0.0,488
44,92.099592,24.659347,-13.2,-15.8,63,63,4.1,4.1,P,12.318,11.723,11.494,dM0.0,183
45,92.197612,24.807466,10.4,-17.6,63,63,4.1,4.1,P,12.258,11.542,11.353,dM1.0,148
46,91.980406,24.683971,-0.9,-10.2,63,63,4.1,4.1,P,14.864,14.089,13.954,dK7.5-,649
47,92.935081,24.651106,-6.7,-9.7,63,63,4.1,4.1,P,14.451,13.78,13.559,dM1.5,371
48,93.211083,24.466242,-19.1,-37.6,63,63,4.1,4.1,P,13.161,12.501,12.338,dK7.5,296
49,92.304663,25.418313,22.9,-7.8,63,63,4.1,4.1,P,14.024,13.361,13.179,dK7.0,483
50,92.066488,25.567209,2.1,-3.8,63,63,4.1,4.1,P,14.834,14.016,13.829,dM0.0,584
