RAdeg,DEdeg
91.251942,21.45003
91.418262,21.382317
91.470315,21.551775
91.286424,21.496391
90.506862,20.961156
90.285509,20.946707
90.351321,22.957841
89.483498,23.2136
89.65543,23.273896
90.002328,23.711426
89.64962,22.753183
89.600591,22.841487
90.582224,23.475601
91.631493,23.442842
91.23135,22.830003
91.482921,23.062835
90.460115,23.145891
90.647796,23.181593
90.714081,23.076211
91.275276,23.636682
91.161463,23.728079
91.377069,23.722536
91.653166,23.100161
90.66921,22.252203
91.171104,22.048929
90.406923,21.980196
92.92529,23.088071
93.392264,22.433559
93.278488,22.373676
91.770209,24.237443
92.030892,24.365379
91.571149,24.467762
92.199571,23.339343
90.602768,25.236789
91.796991,25.443944
91.586723,25.178974
90.677274,24.913677
91.077957,25.575545
92.697349,24.855232
92.342168,25.285717
91.978141,25.099002
92.144056,25.092559
91.983693,25.064365
92.370568,24.698779
92.099592,24.659347
92.197612,24.807466
91.980406,24.683971
92.935081,24.651106
93.211083,24.466242
92.304663,25.418313
92.066488,25.567209
93.45067,23.596822
93.369077,23.631516
93.077763,24.157376
93.168298,24.376012
93.324938,24.314093
88.771925,23.874291
89.105867,23.763203
88.784973,23.770758
16.38579,45.271024
20.215633,46.178784
10.130722,40.341337
10.437444,40.086058
9.799361,40.039992
9.798743,40.143788
9.840294,40.07489
10.122052,40.052366
9.88776,40.15205
9.518133,40.774343
9.364235,40.589272
9.370534,41.051019
9.641619,41.247308
9.433465,41.115916
9.767467,40.717378
9.965137,40.699277
10.080694,40.54531
10.128981,40.950644
9.971539,41.315638
9.529965,40.156058
9.417776,40.25745
9.348833,40.251592
10.661492,40.924981
11.491151,40.878597
11.272196,40.153324
11.187391,40.367027
11.050993,40.29259
10.676977,40.140263
10.354242,40.796744
10.328871,40.715241
10.467198,40.683482
10.426658,40.737165
10.263393,40.685035
10.763927,40.446608
11.051401,40.422922
11.201694,40.971657
11.569373,41.135686
11.188598,41.268666
11.226954,41.0941
11.354646,41.047342
11.652514,40.805543
11.851123,40.488743
11.952328,40.751701
11.918566,40.577141
10.712852,39.524334
10.535006,39.706012
10.61799,39.542793
10.896664,39.536999
10.64636,39.837476
10.703135,39.377852
11.55597,39.46442
11.161091,39.664241
11.124746,39.580281
11.284319,39.529249
10.779284,39.908636
10.250974,39.26516
10.409837,39.759105
13.182498,39.785653
13.638604,40.411785
14.325779,40.418436
14.064796,40.409968
13.77603,40.524597
14.122283,40.478537
13.360878,40.249639
13.520476,40.22926
13.693357,40.272693
13.381794,40.287478
13.640923,40.243359
13.993699,39.852474
13.885023,39.587881
14.056875,39.729753
14.0809,39.570677
14.296121,40.369676
14.127217,40.227845
13.806503,40.359849
13.918221,39.955663
14.018541,39.920592
14.124667,40.101294
13.943082,39.99759
13.472985,40.165923
13.476321,40.043897
13.499051,40.089105
13.766544,40.149785
13.498364,39.776862
13.511348,39.814534
13.655983,39.807394
13.170777,39.940337
13.156864,39.969117
12.9004,39.937191
13.292262,40.000011
12.185244,38.970558
12.334528,38.848609
12.275564,38.838259
12.529454,38.8296
12.121162,39.122705
11.714629,39.051896
11.989456,38.945716
11.782446,39.168758
12.748472,38.946813
12.901841,39.296231
13.107688,38.972842
13.332027,39.053792
13.500389,39.142659
13.198303,39.008451
12.653685,39.106538
13.781178,39.459379
12.193012,38.56402
12.329236,38.766272
12.33898,38.586678
13.022651,39.554716
13.235158,39.367679
13.403057,39.475323
13.346583,38.845828
12.904859,38.673613
12.872313,38.762159
12.937168,38.829261
12.79913,38.637019
12.536417,38.710305
12.448648,38.719037
10.734624,42.584772
10.435544,42.713469
11.890408,42.982148
11.462613,42.427993
11.551135,42.481668
11.937157,42.616729
11.830831,42.670391
11.746686,42.793168
10.507125,42.992675
10.110844,42.957055
11.217845,42.574019
11.379144,42.911764
11.473207,42.944819
11.230369,42.320956
14.035049,41.432803
14.094805,41.326075
14.173997,40.947254
14.433371,40.862187
13.442106,40.857577
13.501228,40.808819
13.759163,40.701524
13.683717,41.781903
13.422602,41.631191
13.728718,41.688356
13.360965,41.653601
13.574366,41.365313
13.433523,41.350288
13.67376,41.242604
13.040075,41.579759
13.892318,41.485118
14.047772,41.760644
13.737061,41.756311
14.117214,41.726202
13.758214,41.616013
14.125686,41.62465
14.071657,41.582196
13.782009,40.928093
13.423845,41.043609
13.634704,40.947674
13.129873,41.299242
13.149332,41.353006
13.193354,41.246298
13.201827,41.289541
8.21048,41.596803
8.506824,41.722531
8.224357,41.752076
8.400308,41.591216
8.429963,41.777686
7.940595,40.735316
7.90627,40.666014
8.33471,40.73106
8.03059,40.889425
8.099976,40.810447
8.277791,40.946246
9.155371,40.684594
8.8747,40.938582
9.027663,40.890633
8.908362,40.893047
9.402855,41.481885
9.522115,41.493433
9.387066,41.602788
9.107636,41.405401
9.193368,41.404966
8.357518,41.377014
8.078937,41.351141
8.749982,41.482057
8.841587,41.475869
9.036177,41.242927
8.537132,40.758619
8.538585,41.008499
8.431419,40.875095
8.454031,41.153656
10.56317,41.828317
11.279055,42.170844
11.54124,42.118521
11.202029,42.024508
9.948507,41.562109
11.551649,41.762961
11.441308,41.841688
11.519535,41.689856
11.068347,41.440721
10.657135,41.99713
8.351078,42.025303
8.700536,41.96273
9.04461,42.438662
9.001099,42.509671
9.482639,42.610143
9.17631,42.527979
9.289112,42.528252
9.482178,42.478454
9.634036,42.565829
9.661747,42.409946
9.593632,42.481288
9.842769,42.347506
10.038565,42.446919
8.754687,42.01975
8.964461,41.941191
10.161205,42.175279
10.226453,42.170808
10.108388,42.372156
10.021261,42.708547
10.137854,42.699449
10.037087,42.122511
9.634427,42.182654
9.684854,42.121051
9.883294,41.982321
9.43622,42.1859
9.381146,42.169534
9.147481,42.301786
8.963498,42.259026
10.053349,42.830582
9.320843,41.043246
13.301125,39.670133
13.710425,40.575241
13.105826,40.19875
13.14718,39.414828
13.345333,41.405585
9.022189,41.149824
18.643309,43.200635
17.687964,43.680303
18.642515,43.593357
17.928359,43.486031
17.82797,43.413376
17.068863,43.012262
17.195661,44.822841
17.088865,44.798088
17.41904,44.84554
16.869317,44.834688
16.431824,45.420128
17.558058,45.926243
17.1286,45.843807
17.019445,45.475892
16.548115,45.385995
16.724106,45.145516
17.104324,45.237282
16.975438,45.632401
16.291679,44.91971
16.497638,44.786558
18.165927,45.533179
18.177988,44.931404
18.35522,45.089644
17.343011,45.198084
18.944824,45.370215
18.587371,44.560765
20.144121,44.224203
21.409374,45.089239
20.211684,44.78389
20.718523,44.745715
19.776329,44.439517
19.937636,44.617778
19.436226,45.151841
19.883295,44.940704
19.169529,44.322239
19.459915,44.520955
18.746791,44.828319
18.854992,44.181066
19.030967,45.00473
19.013929,44.853763
19.37855,45.02587
18.147399,42.971031
18.665777,42.898375
18.561404,43.167682
18.653122,43.673717
18.107805,43.887664
17.937049,43.568671
18.068175,43.609992
17.847528,43.773109
17.866476,43.447251
18.798465,43.000914
18.910371,42.975083
17.625416,42.884999
17.472689,43.136781
17.309725,43.210056
17.290396,42.959464
17.050334,45.036965
17.269159,45.007662
16.193616,45.459675
16.019294,45.450662
17.430369,45.72326
17.413975,45.822861
16.505159,45.376968
16.716522,45.143586
16.903796,45.974031
16.702247,45.719313
16.53431,45.019188
17.795714,45.478072
17.969324,45.794564
18.570801,44.891708
18.196139,45.018094
17.782998,44.83142
19.100666,45.302974
18.154618,44.330458
18.150846,44.255726
17.896181,44.444034
20.199819,44.457704
20.565406,45.033873
21.292916,45.163195
21.12066,45.232466
21.446102,45.165922
21.422404,45.160952
21.575197,45.088807
21.324182,45.093732
20.702227,45.028671
20.740862,44.899306
20.31705,44.958293
20.604722,44.971713
20.499656,44.92341
20.970306,44.21047
21.202932,44.207917
21.085049,44.374669
21.516093,44.990612
21.277374,44.842599
21.225651,44.853217
20.885875,44.975813
21.499861,44.758696
21.266273,44.751512
20.773235,44.771339
20.703431,44.498229
20.752271,44.565705
20.471458,44.161875
20.599136,44.351655
19.968435,44.666931
19.265683,44.77579
19.120941,44.41954
19.15138,45.33657
19.325083,45.270176
19.571028,45.328014
19.509566,45.169243
19.423179,45.107278
19.608421,44.850668
20.177208,44.932708
19.762565,45.057652
20.243702,45.041372
20.132827,45.174993
19.322946,44.320201
19.379467,44.264357
19.335898,44.147199
19.609762,44.490675
19.941823,44.688552
19.78781,44.644942
19.591683,44.582127
19.581991,44.639005
18.611373,44.430659
18.974644,44.559798
18.902123,44.603572
18.960584,44.377861
19.063573,44.375174
18.913858,44.001347
19.200708,43.839999
18.833832,43.939144
18.771223,43.961029
18.787407,44.849088
19.070855,44.906984
19.163427,44.955065
18.942749,45.066033
19.213249,45.011397
19.457243,44.857763
18.990471,44.83731
17.547463,47.314757
18.990583,47.675691
19.127316,47.460911
19.192604,47.444579
19.152321,47.61807
18.880589,47.05417
17.931745,46.879941
18.633551,47.54689
18.138566,47.715465
17.387764,47.632998
43.10411,32.827205
43.269904,32.877611
43.158104,32.841756
43.111657,32.619052
43.219338,32.748438
43.03443,32.749489
42.356839,32.793355
42.346645,33.040732
42.216901,32.973419
42.567035,32.93945
42.245351,33.142296
42.458989,33.144411
42.721442,33.053668
42.700137,33.024897
42.912341,33.208011
42.73758,32.949829
43.255736,33.017189
43.142127,33.362294
42.992674,33.334806
42.775609,33.348162
42.655588,33.484684
43.550535,32.828491
43.318478,32.820594
43.509618,32.672923
43.405983,32.823118
43.577316,32.937548
42.82506,32.72225
42.681724,32.717041
42.526501,32.836917
42.258793,32.862674
41.881704,32.790155
41.986374,32.717996
42.129361,32.772294
42.306441,35.249459
