RaH,RaM,RaS,Dec sign,Dec deg,DecM,DecS
1,34,52.47,,-1,4,37.9
7,50,2.47,,21,15,21.3
8,22,33.87,,17,0,16.5
8,30,51.71,,36,12,55.5
8,35,26.17,,39,29,14.6
8,43,58.5,,6,0,38.6
8,46,48.89,,30,28,1.8
8,55,0.38,,35,41,7.5
8,55,48.71,,36,36,1.4
8,58,38.92,,9,19,57.7
9,3,7.94,,8,42,43.1
9,4,23.07,,46,38,18.6
9,7,41.8,,46,20,35.1
9,9,3.58,,19,41,43.6
9,40,43.35,,39,40,35.2
10,12,0.28,,20,46,11.6
10,27,57.77,,34,1,46.8
10,44,10.01,,30,1,42.3
10,46,57.93,,-1,37,46.4
11,11,47.19,,27,25,16.7
11,19,29.2,,67,21,4.1
12,27,41.9,,25,12,59.6
13,51,28.49,,55,6,56.9
14,34,33.99,,38,41,3.4
15,20,29.33,,14,34,37
15,25,35.9,,43,15,45.2
16,5,19.49,,3,5,34.2
16,40,8.58,,11,3,22.7
16,57,39.57,,39,39,48
1,4,48.47,,15,35,1.9
2,5,33.75,,12,38,24.1
2,12,58.07,,6,41,17.6
8,58,33.76,,2,4,52.9
9,32,44.46,,1,12,59.9
9,49,5.26,,2,32,50.7
10,36,58.9,,3,36,23.2
11,40,1.19,,0,37,4
14,30,13.2,,1,20,19.1
14,41,28.38,,0,31,21.5
14,57,43.44,,1,27,47.4
15,41,28.39,,4,10,4.6
15,48,28.37,,0,18,10.4
7,40,13.59,,24,29,45.1
8,6,5.53,,29,28,0.9
8,26,50.57,,28,52,53.4
9,45,3.44,,10,36,0.3
10,32,18.45,,1,15,56.5
10,33,18.01,,5,30,54.9
10,37,35.78,,11,32,49.8
10,42,6.18,,9,23,19.9
10,44,51.52,,-1,46,34.1
10,50,12.58,,8,51,22.6
10,57,3.59,,6,48,50.4
11,0,17.82,,1,12,18.7
11,4,21.86,,5,37,24
11,13,58.73,,3,11,37.7
11,38,44.65,,6,54,10
11,43,28.18,,11,22,21.9
12,49,4.39,,10,4,13.5
12,51,34.45,,0,55,55.5
13,18,22.81,,-1,11,50.2
13,45,55.25,,2,22,49.4
14,14,5.74,,-1,42,2.7
15,12,17.83,,-1,12,35.4
15,24,34.64,,0,20,58
15,25,39.97,,0,24,10
15,36,47.08,,2,55,1.6
15,41,43.81,,1,26,31.4
7,44,31.25,,28,39,16.6
9,45,52.72,,0,34,32.4
10,0,40.68,,12,56,10.5
10,16,26.29,,2,41,3.9
10,18,24.97,,2,15,12.5
10,29,35.81,,11,9,1.6
10,43,9.04,,5,21,12
10,47,53.45,,14,59,42
10,51,2.31,,13,33,46.9
10,53,9.9,,13,14,30.1
11,6,51.29,,4,48,15
11,14,47.27,,-1,57,23.4
11,14,53.35,,12,29,18.8
11,18,14.67,,9,41,12.1
11,44,42.54,,15,51,5.9
12,13,56.96,,-2,55,25.5
12,18,12.86,,7,6,10.4
12,44,10.11,,27,36,25.8
12,55,51.65,,34,14,21.2
12,59,30.64,,13,16,34.2
13,6,15.21,,4,59,8.9
13,9,59.6,,5,29,38.7
13,10,38.46,,33,39,11.7
13,20,12.19,,5,39,44
13,27,37.53,,34,51,3.7
13,27,41.76,,-1,29,15.8
13,28,23.36,,30,21,44.9
13,50,53.4,,23,50,24.3
13,55,28.24,,6,51,14.6
14,47,29.91,,-1,59,50.3
15,32,41.87,,2,41,46
20,58,19.76,,0,1,3.9
