RaH,RaM,RaS,Dec sign,Dec deg,DecM,DecS,RA,DEC,RAdeg,DEdeg
1,34,52.47,,-1,4,37.9,01 34 52.47,-1 04 37.9,23.718624999999996,-1.0771944444444443
7,50,2.47,,21,15,21.3,07 50 02.47,+21 15 21.3,117.51029166666665,21.255916666666668
8,22,33.87,,17,0,16.5,08 22 33.87,+17 00 16.5,125.64112499999999,17.004583333333333
8,30,51.71,,36,12,55.5,08 30 51.71,+36 12 55.5,127.71545833333332,36.21541666666667
8,35,26.17,,39,29,14.6,08 35 26.17,+39 29 14.6,128.85904166666666,39.48738888888889
8,43,58.5,,6,0,38.6,08 43 58.5,+6 00 38.6,130.99374999999998,6.010722222222222
8,46,48.89,,30,28,1.8,08 46 48.89,+30 28 01.8,131.70370833333334,30.467166666666664
8,55,0.38,,35,41,7.5,08 55 00.38,+35 41 07.5,133.7515833333333,35.68541666666666
8,55,48.71,,36,36,1.4,08 55 48.71,+36 36 01.4,133.9529583333333,36.600388888888894
8,58,38.92,,9,19,57.7,08 58 38.92,+9 19 57.7,134.66216666666665,9.332694444444444
9,3,7.94,,8,42,43.1,09 03 07.94,+8 42 43.1,135.78308333333334,8.711972222222222
9,4,23.07,,46,38,18.6,09 04 23.07,+46 38 18.6,136.09612499999997,46.6385
9,7,41.8,,46,20,35.1,09 07 41.8,+46 20 35.1,136.92416666666668,46.34308333333333
9,9,3.58,,19,41,43.6,09 09 03.58,+19 41 43.6,137.26491666666666,19.695444444444444
9,40,43.35,,39,40,35.2,09 40 43.35,+39 40 35.2,145.18062499999996,39.67644444444444
10,12,0.28,,20,46,11.6,10 12 00.28,+20 46 11.6,153.00116666666662,20.76988888888889
10,27,57.77,,34,1,46.8,10 27 57.77,+34 01 46.8,156.9907083333333,34.029666666666664
10,44,10.01,,30,1,42.3,10 44 10.01,+30 01 42.3,161.0417083333333,30.028416666666665
10,46,57.93,,-1,37,46.4,10 46 57.93,-1 37 46.4,161.74137499999998,-1.6295555555555556
11,11,47.19,,27,25,16.7,11 11 47.19,+27 25 16.7,167.94662499999998,27.421305555555556
11,19,29.2,,67,21,4.1,11 19 29.2,+67 21 04.1,169.87166666666664,67.35113888888888
12,27,41.9,,25,12,59.6,12 27 41.9,+25 12 59.6,186.92458333333332,25.216555555555555
13,51,28.49,,55,6,56.9,13 51 28.49,+55 06 56.9,207.8687083333333,55.11580555555555
14,34,33.99,,38,41,3.4,14 34 33.99,+38 41 03.4,218.64162499999998,38.68427777777777
15,20,29.33,,14,34,37.0,15 20 29.33,+14 34 37.0,230.1222083333333,14.576944444444445
15,25,35.9,,43,15,45.2,15 25 35.9,+43 15 45.2,231.3995833333333,43.26255555555556
16,5,19.49,,3,5,34.2,16 05 19.49,+3 05 34.2,241.33120833333328,3.0928333333333335
16,40,8.58,,11,3,22.7,16 40 08.58,+11 03 22.7,250.03575,11.056305555555555
16,57,39.57,,39,39,48.0,16 57 39.57,+39 39 48.0,254.41487499999994,39.663333333333334
1,4,48.47,,15,35,1.9,01 04 48.47,+15 35 01.9,16.201958333333334,15.583861111111112
2,5,33.75,,12,38,24.1,02 05 33.75,+12 38 24.1,31.390624999999996,12.640027777777778
2,12,58.07,,6,41,17.6,02 12 58.07,+6 41 17.6,33.241958333333336,6.6882222222222225
8,58,33.76,,2,4,52.9,08 58 33.76,+2 04 52.9,134.64066666666665,2.081361111111111
9,32,44.46,,1,12,59.9,09 32 44.46,+1 12 59.9,143.18524999999997,1.2166388888888888
